ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,roe_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VULC3,SMALL11,Consumer Cyclical,78.8,90.0,49.73,87.47,99.24,1,Não,5,7,False,True,True,True,True,False,,True,False,4372451840.0,4.7,1.65,29.47,15.46,35.06,17.83,31.34,,2.95,0.42,,13.930000305175781,15.11,21.85,30.07,23.73,,22.69,22.79,20.51,47.24,62.89,n/d,2025-12-23,última,,,Lateral,14.5,-3.931032378098065,-31.140999026435566,True,False,False,sem sinal (Lateral; sem novo topo (-3.9%))
PLPL3,SMALL11,Real Estate,73.71,80.88,73.75,64.11,69.7,2,Não,4,7,False,True,True,True,False,False,,True,False,1495710336.0,4.25,1.34,7.04,6.32,31.56,29.38,9.85,,2.87,1.28,,7.369999885559082,3.27,4.73,17.59,14.65,,10.06,9.69,8.72,18.31,36.5,n/d,2025-12-30,última,,,Em Baixa,8.270000457763672,-10.882714901904167,-57.59648469757725,True,False,False,sem sinal (Em Baixa; sem novo topo (-10.9%))
VLID3,SMALL11,Industrials,73.5,67.09,71.82,81.03,81.82,3,Não,3,7,False,False,True,True,False,False,,True,False,1431065984.0,6.11,0.87,9.26,8.3,14.22,15.05,12.13,,2.32,0.43,,18.290000915527344,10.65,15.4,30.37,37.63,,23.51,22.89,20.6,12.62,28.56,2026-08-05,2026-05-12,última,,,Em Alta,18.65999984741211,-1.9828453103448385,-20.74885690854451,True,False,False,sem sinal (Em Alta; sem novo topo (-2.0%))
POMO4,BOVA11,Industrials,72.45,81.05,58.1,61.1,96.21,4,Não,5,7,False,True,True,True,False,True,,True,False,5797339648.0,5.01,1.42,19.63,9.47,28.32,18.39,13.81,,1.97,0.84,0.22,4.670000076293945,3.1,5.68,11.98,8.31,27.96,11.41,8.31,7.47,60.06,144.24,n/d,2026-04-27,última,,,Em Baixa,5.429999828338623,-13.99631263482396,-41.26488935052461,True,False,False,sem sinal (Em Baixa; sem novo topo (-14.0%))
RECV3,BOVA11,Energy,70.82,57.15,77.43,68.02,93.18,5,Não,2,7,False,False,False,False,True,False,,True,False,2962321408.0,5.63,0.72,13.31,9.75,12.74,9.37,17.93,,2.18,0.77,,10.109999656677246,6.92,10.0,18.22,23.82,,14.74,14.11,12.7,25.63,45.81,n/d,2026-05-19,última,,,Em Alta,10.890000343322754,-7.1625405147371595,-29.005789403344153,True,False,False,sem sinal (Em Alta; sem novo topo (-7.2%))
BRSR6,SMALL11,Financial Services,70.61,51.0,84.47,,88.64,6,Pivô de alta,2,6,False,False,False,False,,False,,True,True,5868783616.0,3.66,0.51,11.21,10.15,13.99,0.0,22.75,,,,,14.350000381469727,10.23,14.78,39.78,49.82,,28.65,27.28,24.55,71.11,99.67,n/d,2026-06-15,última,"A análise fundamentalista do Banrisul (BRSR6) revela um ativo que transita entre uma clara compressão de múltiplos de preço e desafios operacionais de rentabilidade e crescimento. O papel é negociado a um P/L de 3,66 e um P/VP de 0,51, patamares historicamente baixos que convivem com um ROE de 14,0% e um ROIC de 0,0%, ambos situando-se abaixo dos pares do setor de serviços financeiros, que registram médias de 20,1% e 7,9%, respectivamente. Essa relação de qualidade versus preço sugere que, embora a rentabilidade da instituição esteja abaixo da média setorial, o mercado precifica o ativo com um desconto severo, criando uma assimetria favorável em termos de valor. No âmbito do crescimento, a receita da companhia encolheu a uma taxa composta anual (CAGR) de -8,3% nos últimos cinco anos, desempenho significativamente abaixo da média de expansão de 8,9% observada em seus pares, o que justifica o fato de o banco ter atendido a apenas 2 de 6 critérios no checklist de qualidade e crescimento. Por outro lado, a sustentabilidade do expressivo dividendo distribuído, com um dividend yield de 11,21%, encontra forte suporte na robusta margem líquida de 22,75%, indicando que a geração de lucro atual é plenamente capaz de manter o fluxo de proventos mesmo diante de uma receita em retração. Sob a ótica do valuation, as projeções de preço-teto apresentam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 16,17 pelo modelo de Gordon e R$ 26,57 pelo método de Bazin, até estimativas mais agressivas de R$ 39,42 via fluxo de caixa descontado e R$ 49,37 pela fórmula de Graham. Essa disparidade resulta em uma média de R$ 32,88 e uma mediana de R$ 32,99, valores que, quando comparados à cotação atual de R$ 14,22, sinalizam um potencial de valorização teórico de 132,0% em relação à mediana. Em suma, o investimento em BRSR6 coloca em balanço, como pontos positivos, o elevado retorno em dividendos, o desconto patrimonial extremo e a tendência gráfica de alta com pivô armado; em contrapartida, pesam negativamente a perda de eficiência frente aos concorrentes, a retração histórica de receita e o fraco desempenho no checklist de fundamentos.",Pivô de alta,Em Alta,14.449999809265137,-0.6920375717326399,-22.948761520332205,True,True,True,Pivô de alta
LAVV3,SMALL11,Real Estate,70.59,74.72,47.9,77.6,96.97,7,Não,4,7,False,True,True,False,True,False,,True,False,2071604224.0,5.12,1.49,24.74,13.99,29.03,9.91,22.06,,4.22,0.85,,10.600000381469727,10.4,15.04,21.01,18.2,,16.16,16.62,14.96,41.14,52.49,n/d,2026-02-03,última,,,Em Baixa,11.069999694824219,-4.245703038042903,-44.15173531547527,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.2%))
AZZA3,BOVA11,Consumer Cyclical,69.83,42.63,84.83,76.88,93.94,8,Não,1,7,False,False,False,False,False,False,,True,False,3228749056.0,3.98,0.41,15.43,3.53,10.39,7.75,7.17,,2.2,0.49,,15.970000267028809,3.96,5.72,40.71,59.3,,27.42,23.22,20.89,30.84,71.71,2026-08-12,2025-12-22,última,,,Em Baixa,18.65999984741211,-14.415860677278447,-54.33735962295504,True,False,False,sem sinal (Em Baixa; sem novo topo (-14.4%))
GRND3,SMALL11,Consumer Cyclical,69.76,65.92,50.44,82.8,100.0,9,Não,4,7,False,True,True,False,True,False,,True,False,3220711168.0,5.21,1.04,42.01,19.55,19.96,7.6,24.95,,2.05,0.02,,3.569999933242798,4.9,7.08,6.95,7.27,,6.55,7.02,6.32,76.89,83.51,2026-08-06,2026-04-24,última,,,Em Baixa,3.869999885559082,-7.7519369815935875,-28.20109451114433,True,False,False,sem sinal (Em Baixa; sem novo topo (-7.8%))
TGMA3,SMALL11,Industrials,69.68,79.12,39.02,84.34,89.39,10,Não,6,7,False,True,True,True,False,True,,True,True,2197705984.0,8.89,2.27,11.23,10.1,25.55,27.01,10.14,,2.22,0.23,0.38,33.33000183105469,23.62,43.24,48.17,35.19,112.47,52.54,43.24,38.92,16.76,57.63,n/d,2025-12-03,última,,,Lateral,34.20000076293945,-2.543856469230066,-18.488622331717643,True,False,False,sem sinal (Lateral; sem novo topo (-2.5%))
