ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VTRU3,SMALL11,SMALL11,Consumo discricionário,77.12,73.08,100.0,,,0.9,P/L=1.71<2,88.84,88.36,51.25,7.64,1,Não,7,7,True,,True,,,True,True,True,True,5,5,True,True,True,True,True,,True,True,True,,True,2070765824.0,1.71,0.51,0.2,0.21,29.95,14.79,48.63,,2.13,0.76,,12.710000038146973,0.18671902219520348,0.3463637861721024,98.48391842423823,64.5585351644727,222.98245680959602,,,,2,False,1194.2,,,n/d,2026-05-04,última,,,Em Baixa,13.119999885559082,-3.124998864240758,-26.73465385987328,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.1%))
JHSF3,SMALL11,SMALL11,Imobiliário,76.15,74.88,83.33333333333333,,,0.8,,84.71,79.23,49.68,70.14,2,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,7193823744.0,3.85,1.04,6.24,7.77,27.12,12.14,53.01,,1.92,0.74,0.26,10.789999961853027,5.99122044751402,11.113713930138507,37.13441545313054,25.577946097036243,63.82521706311473,,,,4,False,10.7,,,n/d,2026-08-31,próxima,,,Lateral,11.33961009979248,-4.846816893197337,-23.765504622776835,True,False,False,sem sinal (Lateral; sem novo topo (-4.8%))
VULC3,SMALL11,SMALL11,Consumo discricionário,76.02,77.67,66.66666666666667,,,0.9,,88.41,59.38,67.29,95.83,3,Pivô de alta,5,7,False,,True,,False,True,True,False,True,4,6,True,True,True,True,False,,True,False,True,,True,4410145280.0,4.8,1.68,28.86,15.46,35.06,17.83,24.89,,2.96,0.37,0.53,14.039999961853027,15.502607698948838,28.757337281550093,38.75624989469846,23.452173914095194,71.6734392137818,35.62836160061488,28.757337281550093,25.881603553395085,5,True,4.6,84.34190615182293,153.76325995311882,n/d,2025-12-23,última,"A Vulcabras (VULC3) apresenta-se como um caso intrigante no setor de consumo discricionário, onde a expressiva qualidade operacional convive com múltiplos de preço bastante descontados. O retorno sobre o patrimônio líquido (ROE) de 35,1% e o retorno sobre o capital investido (ROIC) de 17,8% situam-se confortavelmente acima das médias setoriais de 12,2% e 12,5%, respectivamente, evidenciando uma eficiência na alocação de capital que contrasta com um P/L de apenas 4,8 e um P/VP de 1,68, sugerindo que o mercado pode estar subavaliando essa robusta geração de valor. Essa rentabilidade diferenciada é suportada por uma estrutura de capital extremamente saudável, visto que a relação dívida/patrimônio de 0,37 indica baixo endividamento, enquanto a liquidez corrente de 2,96 garante ampla folga financeira para honrar compromissos de curto prazo. O extraordinário dividend yield de 28,86% mostra-se coerente com a forte margem líquida de 24,89% e com a baixa alavancagem, embora a sustentabilidade de proventos tão elevados no longo prazo demande atenção frente à expressiva contração histórica de receita, cujo CAGR de cinco anos de -64,7% ficou severamente abaixo da média setorial de 49,8%. Esse gargalo no crescimento de longo prazo e a existência de vendas por parte de insiders foram os únicos pontos fracos que impediram a companhia de gabaritar o checklist de critérios fundamentalistas, no qual ela atendeu a 5 dos 7 requisitos avaliados. Sob a ótica do valuation, as estimativas de preço-teto revelam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 15,50 de Bazin e R$ 23,45 de Graham até os R$ 71,67 de Lynch, resultando em uma média de R$ 35,63 e uma mediana de R$ 28,76. Tomando como referência o preço-teto ajustado com margem de segurança de R$ 25,88, o papel exibe um expressivo potencial de valorização de 84,3% em relação à cotação atual de R$ 14,04, em um momento técnico de tendência lateral, mas com sinal gráfico de pivô de alta. Em suma, os principais atrativos da empresa residem em sua altíssima rentabilidade, saúde financeira impecável e distribuição massiva de dividendos, ao passo que os principais riscos concentram-se no histórico recente de encolhimento da receita e nas transações de insiders.",Pivô de alta,Lateral,14.5,-3.1724140561860237,-30.597246958934466,True,True,True,Pivô de alta
POMO3,SMALL11,SMALL11,Bens Industriais,75.22,73.79,83.33333333333333,,,0.7,,81.42,74.08,48.36,89.58,4,Não,4,7,False,,True,,False,True,True,True,True,5,6,True,True,True,False,False,,True,False,True,,True,5226295296.0,4.38,1.24,22.43,11.85,28.32,18.39,13.81,,1.97,0.84,0.32,4.210000038146973,3.562927779415012,6.609231030814847,12.735730709006251,8.568907623857728,24.48287973746587,7.869199285773459,7.589069327336287,6.830162394602659,4,True,6.9,62.23663498133713,86.91684594941427,n/d,2026-04-27,última,,,Em Baixa,4.989999771118164,-15.631257890747518,-37.5452682521373,True,False,False,sem sinal (Em Baixa; sem novo topo (-15.6%))
ABCB2,SMALL11,SMALL11,Produtos financeiros,73.94,78.17,50.0,,,0.4,,78.17,,,,5,Não,1,3,False,,,,,True,,False,,1,2,True,False,,,False,,,,True,,True,,,0.0,,,14.9,,40.92,,,,,,,,,,,,,,0,True,,,,n/d,n/d,,,,,,,,False,False,False,histórico insuficiente
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,73.9,72.24,83.33333333333333,,,0.7,,81.42,71.51,48.36,80.56,6,Não,4,7,False,,True,,False,True,True,True,True,5,6,True,True,True,False,False,,True,False,True,,True,5611129344.0,4.71,1.33,20.89,9.47,28.32,18.39,13.81,,1.97,0.84,0.31,4.519999980926514,3.0574973721931378,5.671657625418271,12.715498884772039,8.566302726978416,23.483006990361282,8.984486412389575,8.566302726978416,7.709672454280574,3,True,7.7,70.56797537198747,98.77182412173214,n/d,2026-04-27,última,,,Em Baixa,5.380000114440918,-15.98513225317606,-43.15146077270641,True,False,False,sem sinal (Em Baixa; sem novo topo (-16.0%))
MDNE3,SMALL11,SMALL11,Imobiliário,73.85,72.18,83.33333333333333,,,0.8,,73.47,71.88,66.15,79.17,7,Não,6,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,True,,True,False,True,,True,2582462720.0,5.12,1.23,15.58,9.2,23.93,11.1,19.89,,2.78,0.43,0.4,24.899999618530273,16.369193086215468,30.36485317492969,64.43847557529806,47.065541887819606,106.29776019725742,62.04165770882619,55.75200873155883,50.17680785840295,4,True,6.5,101.51328765909695,149.1632877883884,n/d,2026-01-02,última,,,Em Baixa,25.399999618530273,-1.968503966571833,-27.362892341850298,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.0%))
PSSA3,BOVA11,BOVA11,Insurance,73.05,71.82,80.0,,1.8,0.3,,76.67,48.71,100.0,51.39,8,Não,4,6,False,,True,,False,True,,True,True,4,5,True,False,True,,True,,True,False,True,,True,32318830592.0,8.85,2.02,5.98,5.33,22.84,79.28,8.34,,,,0.73,50.41999816894531,19.205461449725163,35.626130989240174,75.48756788005936,56.56486624961452,99.09361290619647,43.43972010634156,35.626130989240174,32.063517890316156,3,True,3.9,-36.407141898579596,-13.844264807813989,2026-11-05,2026-06-23,última,,,Em Baixa,55.45000076293945,-9.071239900425743,-9.234925541984019,True,False,False,sem sinal (Em Baixa; sem novo topo (-9.1%))
MILS3,SMALL11,SMALL11,Bens Industriais,71.92,69.9,83.33333333333333,,,0.7,,86.2,56.55,57.45,54.86,9,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,3554190848.0,8.14,1.94,6.81,5.73,23.81,20.65,23.53,,2.98,0.99,0.64,15.600000381469727,6.388296778263026,11.850290523677913,25.393121014063126,18.62099144680682,35.323453482295825,22.79696411671092,22.007056230434973,19.806350607391476,4,True,5.5,26.963782840147953,46.13438179008009,n/d,2026-04-22,última,,,Lateral,15.8100004196167,-1.3282734508116123,-2.132993775809111,True,False,False,sem sinal (Lateral; sem novo topo (-1.3%))
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,70.26,67.95,83.33333333333333,,,0.9,,90.44,36.24,49.3,83.33,10,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,9660371968.0,9.07,6.25,13.38,9.82,68.95,37.57,18.37,,1.94,0.71,1.21,31.360000610351562,22.003074062813905,40.815702386519796,45.81256980012768,19.75712144035349,59.965415262741686,37.67077659051131,40.815702386519796,36.73413214786782,5,True,3.0,17.136898701916216,20.123647504256216,n/d,2026-05-18,última,,,Em Baixa,32.029998779296875,-2.0917833108953343,-23.59754312876331,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.1%))
LEVE3,SMALL11,SMALL11,Consumo discricionário,70.13,67.8,83.33333333333333,,,0.9,,86.22,59.04,21.56,99.31,11,Não,5,7,False,,True,,True,True,False,True,True,5,6,True,True,True,False,False,,True,True,True,,True,4352157696.0,6.55,4.06,8.88,19.55,62.01,33.17,12.31,,1.37,1.44,0.19,32.11000061035156,44.83658193422489,83.17185948798716,64.95534474613102,29.5357433853737,147.0687050855797,73.91364692785928,64.95534474613102,58.45981027151792,5,True,5.0,82.06106870229006,130.1888680252193,n/d,2026-04-30,última,,,Lateral,32.47999954223633,-1.139159289099212,-11.322835067066405,True,False,False,sem sinal (Lateral; sem novo topo (-1.1%))
BRSR6,SMALL11,SMALL11,Produtos financeiros,69.89,71.64,60.0,17.35,,0.4,,49.13,91.41,90.71,85.42,12,Não,2,6,False,,True,,False,True,,False,True,3,5,False,False,False,,False,,True,True,True,,True,5623398912.0,3.55,0.5,11.54,10.15,13.99,0.0,22.75,,,,0.4,13.75,9.973464514085066,18.500776673627797,51.320422535211264,48.95474340049645,73.98456485262594,14.237120593856432,14.237120593856432,12.813408534470788,2,True,5.1,-6.811574294757905,3.542695228046777,n/d,2026-06-15,última,,,Lateral,14.449999809265137,-4.844289401417889,-26.170418053541344,True,False,False,sem sinal (Lateral; sem novo topo (-4.8%))
RIAA3,SMALL11,SMALL11,Consumo discricionário,69.85,70.41,66.66666666666667,,,0.9,,66.09,91.58,42.72,92.36,13,Não,3,7,False,,False,,False,True,True,True,True,4,6,True,True,False,False,False,,True,False,True,,True,3896009216.0,2.54,0.72,41.72,13.09,28.35,8.96,14.35,,1.61,0.68,0.17,7.760000228881836,7.255436190327779,13.458834133058028,40.480316154600125,27.218857166238617,85.8173661802427,,,,3,False,11.8,,,2026-11-04,2026-07-01,última,,,Em Baixa,8.420000076293945,-7.83847792674377,-28.37008112858783,True,False,False,sem sinal (Em Baixa; sem novo topo (-7.8%))
CXSE3,BOVA11,BOVA11,Insurance,69.48,64.09,100.0,,1.6,0.3,,64.67,27.43,100.0,81.25,14,Não,4,6,False,,True,,True,True,,True,True,5,5,True,False,False,,True,,True,True,True,,True,57959997440.0,13.2,4.21,7.0,9.63,31.89,-1.14,75.12,,,,1.39,19.31999969482422,13.284321776919215,24.642416896185143,19.393181511850067,12.293353235397054,27.993977422552963,19.106640061651476,19.393181511850067,17.45386336066506,3,True,1.9,-9.659090909090917,-1.1043459448392356,2026-08-10,2026-08-04,última,,,Em Baixa,22.04433250427246,-12.3584273142325,-12.747254873216418,True,False,False,sem sinal (Em Baixa; sem novo topo (-12.4%))
PLPL3,SMALL11,SMALL11,Consumo discricionário,69.37,72.79,50.0,,,0.9,,81.55,82.62,46.61,61.11,15,Não,4,7,False,,True,,False,True,False,False,True,3,6,True,True,True,False,False,,True,False,True,,True,1424679296.0,4.26,1.34,7.02,6.32,31.56,29.38,9.85,,2.87,1.28,0.28,7.019999980926514,3.1695816434374113,5.879573948576398,21.83450698292871,13.937060050013876,35.13477528685951,,,,3,False,11.1,,,n/d,2025-12-30,última,,,Em Baixa,7.929999828338623,-11.475408160289447,-59.610219642270245,True,False,False,sem sinal (Em Baixa; sem novo topo (-11.5%))
TGMA3,SMALL11,SMALL11,Bens Industriais,69.32,66.85,83.33333333333333,,,0.7,,79.11,35.67,69.3,84.72,16,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,False,False,,True,True,True,,True,2207596544.0,8.7,2.22,10.84,10.07,25.55,27.01,10.14,,2.22,0.23,2.75,33.47999954223633,24.07987546622509,32.107031253404,36.650851531636725,36.136042547601036,50.9389572770013,35.98255161517363,36.136042547601036,32.52243829284093,5,True,2.1,-2.860099350322265,7.474767345143563,n/d,2026-08-07,última,,,Em Alta,33.290000915527344,0.5707378236218696,-15.317907833418221,True,False,False,sem sinal (Em Alta; sem novo topo (+0.6%))
PETR4,BOVA11,BOVA11,Energia,68.96,72.3,50.0,,,0.9,DY5a=39.1%>=20,86.31,85.32,24.5,,17,Não,5,7,False,,True,,False,True,True,False,False,3,6,True,True,True,True,False,,True,False,True,,True,558426685440.0,3.95,1.1,7.26,39.11,27.73,19.69,21.6,,0.74,0.83,0.26,40.869998931884766,114.17764427106026,211.79953012281675,137.09556603733495,93.00386455904588,310.40505517887163,,,,5,False,3.3,,,n/d,2026-06-02,última,,,Em Alta,43.04999923706055,-5.063880008850452,-16.859804978609183,True,False,False,sem sinal (Em Alta; sem novo topo (-5.1%))
LAVV3,SMALL11,SMALL11,Imobiliário,68.85,66.29,83.33333333333333,,,0.8,,66.75,59.04,60.22,94.44,18,Não,4,7,False,,True,,True,True,True,False,True,5,6,True,True,False,True,False,,True,False,True,,True,1844900224.0,5.11,1.27,27.26,13.99,24.9,8.69,19.91,,3.93,0.85,0.72,9.4399995803833,9.432360693076099,17.497029085656163,24.477494019584874,17.577249748759602,38.960089890983596,21.588844687612067,17.577249748759602,15.819524773883643,5,True,4.1,67.5797190368234,128.69539880567956,n/d,2026-02-03,última,,,Em Baixa,11.0600004196167,-14.647384970800402,-50.26343620622118,True,False,False,sem sinal (Em Baixa; sem novo topo (-14.6%))
INTB3,SMALL11,SMALL11,Tecnologia de informação,68.42,65.79,83.33333333333333,,,0.5,,72.63,53.23,75.74,46.53,19,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,False,False,,True,True,True,,True,4816547328.0,8.08,1.46,8.17,4.3,18.07,17.52,13.1,,2.64,0.26,0.69,14.720000267028809,4.523498083825211,8.391088945495765,24.138614299273723,20.329044599453937,29.313803309762186,20.543137788496402,22.23382944936383,20.01044650442745,4,True,6.5,35.94053085208606,39.55935744451571,n/d,2026-08-04,última,,,Lateral,15.130000114440918,-2.7098469551284587,-5.996863574759104,True,False,False,sem sinal (Lateral; sem novo topo (-2.7%))
VLID3,SMALL11,SMALL11,Bens Industriais,68.09,68.34,66.66666666666667,,,0.7,,64.63,75.49,65.79,72.22,20,Não,3,7,False,,True,,False,True,True,False,True,4,6,True,False,True,False,False,,True,False,True,,True,1332479744.0,6.02,0.79,10.15,8.3,13.18,15.68,11.15,,2.3,0.41,0.91,17.030000686645508,10.095614101751703,18.72736415874941,37.48297493323139,37.04197491142868,42.134696858536074,33.84675271548639,37.262474922330036,33.536227430097036,4,True,4.2,96.9244044505253,98.74780593536998,2026-11-04,2026-08-12,próxima,,,Lateral,18.65999984741211,-8.73525816771462,-26.2084771073389,True,False,False,sem sinal (Lateral; sem novo topo (-8.7%))
