ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VTRU3,SMALL11,SMALL11,Consumo discricionário,77.12,73.08,100.0,,,0.9,P/L=1.71<2,88.84,88.36,51.25,7.64,1,Não,7,7,True,,True,,,,True,True,True,True,5,5,True,True,True,True,True,,True,True,True,,True,2074024320.0,1.71,0.51,0.2,0.21,29.95,14.79,48.63,,2.13,0.76,,12.729999542236328,0.1870999931067279,0.3470704872129802,98.63888534188966,64.66011964001554,223.33332530239173,,,,2,False,1193.7,,,n/d,2026-05-04,última,,,False,False,,,Em Baixa,13.119999885559082,-2.972563618327617,-26.61936899871359,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.0%))
JHSF3,SMALL11,SMALL11,Imobiliário,76.51,74.88,85.71428571428571,,,0.8,,84.71,79.23,49.68,70.14,2,Não,5,7,False,,True,,False,True,True,True,True,True,6,7,True,True,True,True,False,,True,False,True,,True,7093817344.0,3.85,1.04,6.24,7.91,27.12,12.14,53.01,,1.92,0.74,0.26,10.640000343322754,6.0103356059530375,11.149172549042884,36.61818299974714,25.222368509371037,63.31031263199581,,,,3,False,10.5,,,n/d,2026-08-31,próxima,,,False,False,,,Lateral,11.33961009979248,-6.169610333273534,-24.82529048169091,True,False,False,sem sinal (Lateral; sem novo topo (-6.2%))
VULC3,SMALL11,SMALL11,Consumo discricionário,74.59,77.67,57.142857142857146,,,0.9,,88.41,59.38,67.29,95.83,3,Não,5,7,False,,True,,False,False,True,True,False,True,4,7,True,True,True,True,False,,True,False,True,,True,4375592960.0,4.8,1.68,28.86,15.46,35.06,17.83,24.89,,2.96,0.37,0.53,13.930000305175781,15.380118829481612,28.530120428688388,38.45260500907897,23.268432383760814,71.11394855241527,35.349045040685006,28.530120428688388,25.67710838581955,5,True,4.6,84.32956082764088,153.76198324669699,n/d,2025-12-23,última,,,False,False,,,Em Baixa,14.5,-3.931032378098065,-31.140999026435566,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.9%))
MDNE3,SMALL11,SMALL11,Imobiliário,74.21,72.18,85.71428571428571,,,0.8,,73.47,71.88,66.15,79.17,4,Não,6,7,False,,True,,False,True,True,True,True,True,6,7,True,True,True,True,True,,True,False,True,,True,2548237312.0,5.12,1.23,15.58,9.21,23.93,11.1,19.89,,2.78,0.43,0.4,24.56999969482422,16.16832462137003,29.992242172641404,63.58447186648844,46.441781828779035,104.87909709495565,61.224398240716134,55.01312684763374,49.51181416287037,4,True,6.5,101.51328765909695,149.18355311829058,n/d,2026-01-02,última,,,False,False,,,Em Baixa,25.399999618530273,-3.267716284139377,-28.325552596976557,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.3%))
ABCB2,SMALL11,SMALL11,Produtos financeiros,73.94,78.17,50.0,,,0.4,,78.17,,,,5,Não,1,3,False,,,,,,True,,False,,1,2,True,False,,,False,,,,True,,True,,,0.0,,,14.9,,40.92,,,,,,,,,,,,,,0,True,,,,n/d,n/d,,,,False,False,,,,,,,False,False,False,histórico insuficiente
POMO3,SMALL11,SMALL11,Bens Industriais,73.44,73.79,71.42857142857143,,,0.7,,81.42,74.08,48.36,89.58,6,Não,4,7,False,,True,,False,False,True,True,True,True,5,7,True,True,True,False,False,,True,False,True,,True,5114569216.0,4.38,1.24,22.43,11.85,28.32,18.39,13.81,,1.97,0.84,0.32,4.119999885559082,3.4870053862777812,6.468394991545283,12.46346997343786,8.385724016572494,23.959303730997757,7.701148591958354,7.427059504058889,6.684353553653,4,True,6.9,62.241595614654635,86.9210875211787,n/d,2026-04-27,última,,,False,False,,,Em Baixa,4.989999771118164,-17.434868245778123,-38.88040728686697,True,False,False,sem sinal (Em Baixa; sem novo topo (-17.4%))
MILS3,SMALL11,SMALL11,Bens Industriais,72.27,69.9,85.71428571428571,,,0.7,,86.2,56.55,57.45,54.86,7,Não,5,7,False,,True,,False,True,True,True,True,True,6,7,True,True,True,True,False,,True,False,True,,True,3572417280.0,8.14,1.94,6.81,5.73,23.81,20.65,23.53,,2.98,0.99,0.64,15.680000305175781,6.417144179492539,11.903802452958658,25.523342020095708,18.71648361723299,35.510912940867144,22.913635257788624,22.119912818664346,19.90792153679791,4,True,5.5,26.963782840147932,46.13287507542398,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.8100004196167,-0.8222650916543728,-1.631112183512784,True,False,False,sem sinal (Em Alta; sem novo topo (-0.8%))
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,72.12,72.24,71.42857142857143,,,0.7,,81.42,71.51,48.36,80.56,8,Não,4,7,False,,True,,False,False,True,True,True,True,5,7,True,True,True,False,False,,True,False,True,,True,5474575360.0,4.71,1.33,20.89,9.47,28.32,18.39,13.81,,1.97,0.84,0.31,4.409999847412109,2.9833180338733274,5.534054952835023,12.40605052615933,8.357830504042857,22.912197491594107,8.765978661012403,8.357830504042857,7.522047453638572,3,True,7.7,70.56797537198747,98.77503320451322,n/d,2026-04-27,última,,,False,False,,,Em Baixa,5.380000114440918,-18.029744356791888,-44.53494460710663,True,False,False,sem sinal (Em Baixa; sem novo topo (-18.0%))
PSSA3,BOVA11,BOVA11,Insurance,71.05,71.82,66.66666666666667,,1.8,0.3,,76.67,48.71,100.0,51.39,9,Não,4,6,False,,True,,False,False,True,,True,True,4,6,True,False,True,,True,,True,False,True,,True,31857317888.0,8.85,2.02,5.98,5.33,22.84,79.28,8.34,,,,0.73,49.70000076293945,18.929514351522208,35.114249122073694,74.409605662028,55.75712014787278,97.68129206740853,42.81778971187464,35.114249122073694,31.602824209866327,3,True,3.9,-36.41282952769674,-13.847506932428011,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,55.45000076293945,-10.369702291948514,-10.531050503090245,True,False,False,sem sinal (Em Baixa; sem novo topo (-10.4%))
CXSE3,BOVA11,BOVA11,Insurance,69.48,64.09,100.0,,1.6,0.3,,64.67,27.43,100.0,81.25,10,Não,4,6,False,,True,,True,True,True,,True,True,6,6,True,False,False,,True,,True,True,True,,True,56789999616.0,13.2,4.21,7.0,9.63,31.89,-1.14,75.12,,,,1.39,18.93000030517578,13.014544586845252,24.141980208597943,19.001704851786297,12.04519586819886,27.427168720833603,18.71940988240983,19.001704851786297,17.101534366607666,3,True,1.9,-9.659090909090907,-1.1124691990013869,2026-08-10,2026-08-04,última,,,False,False,,,Em Baixa,22.04433250427246,-14.127586754976972,-14.508565322600763,True,False,False,sem sinal (Em Baixa; sem novo topo (-14.1%))
