ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,beta,corr_ibov,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11,SMALL11,Imobiliário,77.93,75.8,90.0,,,0.8,,87.5,80.42,46.53,70.14,1,Não,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.28,True,6647377920.0,3.31,0.94,6.53,7.77,28.4,16.71,13.12,52.59,4.5,0.96,1.73,0.79,0.22,25.73,86.6,5.85,7.22,0.72,61.6,36.26,4.9,13.85,104.8,-27.6,-8.7,1.4,0.62,10.029999732971191,5.568738337364891,10.330009615811873,40.15030104588165,26.97206867749501,69.00674704461521,19.57807411896471,36.665557936239104,16.042162886961197,,,,6,False,12.4,,,n/d,2026-08-31,próxima,,,False,False,,,Em Baixa,11.149999618530273,-10.044842366610895,-29.135127805373283,True,False,False,sem sinal (Em Baixa; sem novo topo (-10.0%))
VULC3,SMALL11,SMALL11,Consumo discricionário,76.51,77.66,70.0,,,0.9,,88.41,60.08,66.38,95.83,2,Não,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4231101184.0,4.63,1.62,29.92,15.45,35.06,31.82,17.83,24.89,6.22,0.76,2.96,0.37,0.46,71.55,-64.7,5.91,11.45,1.64,37.42,62.57,13.47,20.08,0.0,-32.9,-10.9,0.91,0.6,13.470000267028809,14.867549182946572,27.57930373436589,38.54805691968287,23.32979166745663,73.97960710301297,48.39919164689133,26.01544372806262,8.038569198610418,,,,6,False,9.2,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,14.180000305175781,-5.007052347437668,-33.41487859432279,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.0%))
MDNE3,SMALL11,SMALL11,Imobiliário,75.28,72.68,90.0,,,0.8,,73.02,76.52,63.89,79.17,3,Não,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.19,True,2342336000.0,4.36,1.06,16.58,9.24,24.38,16.15,10.98,19.89,4.21,0.7,2.78,0.43,0.3,40.3,87.7,3.54,6.56,1.12,72.76,27.27,18.83,34.28,20.3,-33.9,-19.4,1.66,0.63,22.649999618530273,14.952552198040172,27.736984327364517,68.83314104255184,49.976205739549854,123.62971064322964,24.72936365339941,61.40858933312448,38.21111312418869,,,,6,False,8.3,,,n/d,2026-01-02,última,,,False,False,,,Em Baixa,25.399999618530273,-10.826771816145108,-33.92648650790048,True,False,False,sem sinal (Em Baixa; sem novo topo (-10.8%))
ABCB10,SMALL11,SMALL11,Produtos financeiros,74.51,78.83,50.0,,,0.4,,78.83,,,,4,Não,1,3,False,,,,,,True,,False,,1,2,True,False,,,False,,,,True,True,True,,True,,,,,,14.9,,,40.92,,,,,,,-2.9,,1.54,,,,,,,,,,,,,,,,,,,,,,,0,True,,,,n/d,n/d,,,,False,False,,,,,,,False,False,False,histórico insuficiente
POMO3,SMALL11,SMALL11,Bens Industriais,74.33,75.1,70.0,,,0.7,,80.97,76.79,52.17,90.28,5,Não,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.46,True,4791804928.0,4.01,1.13,24.52,11.85,28.32,24.74,18.39,13.19,4.33,1.29,1.94,0.81,0.27,47.53,-14.0,,8.72,1.02,59.93,39.42,3.85,6.69,0.3,-42.3,-30.3,0.94,0.47,3.859999895095825,3.267716867178861,6.061614788616787,12.754363743147051,8.60136037494798,25.713291618779284,11.401198734955777,11.563090713994146,5.111783181346024,9.248901922834628,10.001279554951878,9.00115159945669,6,True,7.9,133.19046228194873,139.60886461643344,n/d,2026-04-27,última,,,False,False,,,Em Baixa,4.989999771118164,-22.645289135336522,-42.73746892859959,True,False,False,sem sinal (Em Baixa; sem novo topo (-22.6%))
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,73.09,73.64,70.0,,,0.7,,80.97,74.86,52.17,80.56,6,Não,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.46,True,5027671552.0,4.27,1.21,23.03,9.47,28.32,24.74,18.39,13.19,4.54,1.29,1.94,0.81,0.28,40.45,-14.0,4.14,8.72,1.02,59.93,39.42,4.05,7.92,0.0,-48.9,-30.5,0.97,0.5,4.050000190734863,2.7405459590481605,5.0837127540343365,12.567330802631602,8.451614510030714,23.21256353341855,11.575137762178509,11.476581336742823,5.016558550249219,,,,7,False,8.5,,,n/d,2026-04-27,última,,,False,False,,,Em Baixa,5.380000114440918,-24.721187647117116,-49.06269690642381,True,False,False,sem sinal (Em Baixa; sem novo topo (-24.7%))
PSSA3,BOVA11,BOVA11,Insurance,73.06,72.72,75.0,,1.8,0.3,,76.67,52.33,100.0,51.39,7,Não,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,True,True,,True,30639431680.0,8.34,1.91,6.34,5.33,22.84,17.35,79.28,8.13,,,,,0.66,44.49,0.3,7.67,6.06,,71.59,28.18,43.07,55.45,11.0,-13.8,-6.1,0.77,0.5,47.79999923706055,18.212417497895313,33.784034458595805,75.94124579029403,56.80930023906136,103.24189078055217,48.49879078182513,60.98902863901719,,44.10912213215257,41.14141262021047,37.027271358189424,4,True,4.2,-22.53708797241728,-7.721500342716214,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,54.90999984741211,-12.948462265724547,-13.95139533112637,True,False,False,sem sinal (Em Baixa; sem novo topo (-12.9%))
MILS3,SMALL11,SMALL11,Bens Industriais,70.81,69.19,80.0,,,0.7,,85.54,53.68,58.98,54.86,8,Não,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3556468992.0,8.17,1.94,6.79,5.72,23.81,18.37,20.65,23.53,4.86,1.28,2.98,0.99,0.64,46.75,21.3,8.34,11.12,0.54,61.6,38.32,10.3,15.81,51.6,-1.3,8.7,0.77,0.49,15.609999656677246,6.379938405906342,11.834785742956264,25.31609491443984,18.598685871721234,35.158233208593174,12.299291027903656,20.33171804788496,17.592195745771797,20.161572079895848,18.598685871721234,16.73881728454911,7,True,5.5,7.231375097365933,29.158055882926593,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.8100004196167,-1.2650269299885442,-2.070263063947453,True,False,False,sem sinal (Em Alta)
VTRU3,SMALL11,SMALL11,Consumo discricionário,70.79,72.25,62.5,,,0.9,P/L=1.77<2,87.06,89.86,49.22,7.64,9,Não,8,8,True,,True,,,,True,True,True,True,5,8,True,True,True,True,True,True,True,True,True,False,True,0.4,True,2080541440.0,1.77,0.48,0.19,0.21,27.23,9.79,15.07,48.63,2.81,2.49,2.13,0.76,,0.36,1514.7,3.79,6.01,0.37,51.99,48.01,9.82,16.86,30.0,-24.3,-4.4,1.11,0.49,12.770000457763672,0.18792447343102436,0.3485998982145502,95.59463619512351,65.71657486633987,216.440685724808,0.39176666666666665,87.29774324233924,60.804266161714246,,,,4,False,1151.7,,,n/d,n/d,,,,False,False,,,Lateral,13.15999984741211,-2.963521232297961,-26.38878828170046,False,False,False,sem sinal (Lateral)
RIAA3,SMALL11,SMALL11,Consumo discricionário,70.42,70.49,70.0,,,0.9,,66.53,93.44,39.79,92.36,10,Não,4,8,False,,False,,False,False,True,True,True,True,7,10,True,True,False,False,False,True,True,False,True,False,True,0.47,True,3298554368.0,2.19,0.62,48.4,13.12,28.35,8.06,8.96,14.35,2.49,2.11,1.61,0.68,0.15,28.74,16.6,4.92,4.35,1.05,64.01,35.99,5.72,10.43,14.8,-37.0,-24.6,1.63,0.61,6.570000171661377,6.157798559966504,11.422716328737863,39.75000103859051,26.744762018802803,84.36492347691858,51.88018214566937,36.300000948448705,33.319764638640606,,,,6,False,13.7,,,n/d,n/d,,,,False,False,,,Em Baixa,8.079999923706055,-18.688115919586366,-39.35456631435177,False,False,False,sem sinal (Em Baixa; sem novo topo (-18.7%))
