ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,beta,corr_ibov,corr_usd,close,div_ge5_5a,divo_qualidade_ok,auvp_ok,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11+DIVO11+AUVP11,SMALL11,Imobiliário,77.26,75.01,90.0,,,0.8,,86.65,80.26,44.49,70.55,False,1,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.33,True,7648130048.0,3.57,1.01,6.4,8.1,28.4,16.71,13.12,52.59,4.78,1.22,1.3,1.73,0.86,0.24,28.9,90.2,6.73,7.25,0.72,61.6,36.26,5.01,13.76,130.2,-16.1,4.8,9.13,8.84,-27.9,39.5,56.4,7.38,13.76,41.04,1.4,0.61,0.06,11.539999961853027,False,False,True,6.67299995250489,12.378414911896572,42.830532071303246,28.827187407643382,74.65602206242686,19.57807411896471,39.11316513681279,18.857013865491197,,,,6,False,11.2,,,n/d,2026-10-01,próxima,,,False,False,,,Lateral,11.130000114440918,3.683736237164492,-17.914331497907867,True,False,False,sem sinal (Lateral)
VULC3,SMALL11+DIVO11,SMALL11,Consumo discricionário,76.85,78.06,70.0,,,0.9,,87.33,63.88,65.68,96.58,False,2,Não,,,False,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4177701888.0,4.59,1.61,29.38,15.44,35.06,31.82,17.83,24.89,6.17,0.76,0.6,2.96,0.37,0.45,70.88,-64.7,5.83,11.45,1.64,37.42,62.57,13.3,20.08,0.0,-33.8,-9.3,17.02,16.78,-33.8,25.7,-33.2,13.3,19.91,-48.56,0.86,0.58,0.14,13.300000190734863,False,False,False,14.669369356684204,27.211680156649198,38.39324673796011,23.207247047693134,74.3300216284624,48.50242023523322,26.3381876129294,8.945410845723545,,,,6,False,8.3,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,13.819999694824219,-3.7626593022581756,-34.25522569859969,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.8%))
MDNE3,SMALL11,SMALL11,Imobiliário,74.47,71.73,90.0,,,0.8,,72.46,75.92,59.97,81.51,False,3,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$24.52, preço 5.7% acima do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2680500992.0,4.68,1.14,15.45,9.29,24.38,16.15,10.98,21.43,4.5,0.91,1.16,2.38,0.48,0.34,43.5,19.5,4.06,6.4,1.12,72.76,27.27,20.62,34.28,25.7,-24.4,-4.7,25.47,26.49,-33.9,44.9,12.7,22.65,34.28,-2.66,1.65,0.64,0.12,25.920000076293945,False,False,False,17.208321241323898,31.921435902655826,73.38461560061853,53.229318430412846,127.77013469949385,25.641154087854172,62.75073341554096,44.23932553610984,48.52776382886537,48.73432198326134,43.8608897849352,6,True,7.4,69.2163952771348,87.22131051707886,n/d,2026-01-02,última,,,False,False,,,Lateral,25.1200008392334,3.1847102322189347,-24.3873949845409,True,False,False,sem sinal (Lateral)
POMO3,SMALL11+DIVO11,SMALL11,Bens Industriais,73.6,74.23,70.0,,,0.7,,79.6,75.05,52.35,91.78,False,4,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5387677696.0,4.39,1.24,21.9,12.72,28.32,24.74,18.39,13.19,4.64,1.29,0.98,1.94,0.81,0.35,55.84,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,16.3,-33.0,-16.5,5.55,5.42,-42.4,35.3,-18.2,3.73,6.43,-33.56,0.93,0.46,0.04,4.340000152587891,False,False,False,3.9434232288989954,7.315050089607636,13.099089298813107,8.823439275318758,24.938402490005455,11.167369393658433,10.411757710711383,5.47218016350599,8.604615594359187,8.823439275318758,7.941095347786883,7,True,6.3,82.97454075091915,98.26302515746126,n/d,2026-08-26,última,,,False,False,,,Lateral,4.21999979019165,2.8436106247007764,-33.55520307668661,True,False,False,sem sinal (Lateral)
POMO4,BOVA11+SMALL11+DIVO11+AUVP11+Carteira,BOVA11,Bens Industriais,72.77,73.26,70.0,,,0.7,,79.6,73.34,52.35,86.3,False,5,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5710441472.0,4.65,1.32,20.67,10.22,28.32,24.74,18.39,13.19,4.84,1.29,0.98,1.94,0.81,0.31,47.51,-14.0,4.71,8.76,1.02,59.93,39.42,3.93,7.69,17.0,-40.2,-16.0,5.81,5.91,-48.9,35.0,-18.4,3.93,6.81,-33.76,0.99,0.49,0.04,4.599999904632568,False,False,True,3.3568442129329705,6.22694601499066,13.10752660997452,8.807154999685675,24.81289509257538,11.561662127210678,11.886642958342563,5.473626806866951,11.696636372806633,11.561662127210678,10.40549591448961,7,True,7.4,126.20643761341044,154.274709028302,n/d,2026-08-26,última,"A análise fundamentalista da Marcopolo (POMO4) revela uma empresa de bens industriais com forte eficiência operacional, evidenciada por um ROE de 28,3% e um ROIC de 18,4%, ambos significativamente acima das médias do setor de 14,5% e 12,6%, respectivamente. Essa alta qualidade de retorno convive com múltiplos de preço bastante atrativos, visto que o P/L de 4,65 e o P/VP de 1,32 sugerem que o papel está descontado frente à rentabilidade entregue. No âmbito financeiro, a excelente rentabilidade é sustentada por um endividamento controlado, com a relação Dívida Líquida/EBITDA em 1,29, patamar bem abaixo da média setorial de 2,39, o que confere solidez ao balanço. O expressivo Dividend Yield de 20,67% mostra-se coerente com a forte geração de lucro e a estrutura de capital desalavancada, embora o investidor deva monitorar a sustentabilidade desse fluxo no longo prazo. Por outro lado, o crescimento histórico é o principal ponto de atenção, dado que o CAGR de receita de 5 anos recuou 14,0%, ficando muito abaixo da média de expansão do setor de 21,6%. Esse descompasso no crescimento reflete-se no checklist de critérios da companhia, que atendeu a 5 dos 8 requisitos avaliados, penalizado justamente pela ausência de expansão recente e pela margem líquida de 13,19%, que não atingiu o patamar de 15%. Sob a ótica do valuation, as estimativas de preço-teto apresentam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 3,26 pelo modelo de Bazin até os otimistas R$ 24,11 pela fórmula de Lynch. Contudo, a média de R$ 11,41 e a mediana de R$ 11,55 balizam uma referência sólida, resultando em um preço-teto ajustado com margem de segurança de R$ 10,40, o que projeta um expressivo potencial de valorização de 132,6% em relação ao preço atual de R$ 4,47. Em suma, o ativo coloca na balança o forte retorno sobre o capital, o endividamento sob controle e o valuation altamente convidativo como principais prós, contrapondo-se aos contras de uma contração histórica de receita e de uma tendência gráfica de baixa no curto prazo.",,False,True,4.45,3.37,Lateral,4.5,2.222220102945971,-40.428140689426414,True,False,False,sem sinal (Lateral)
PSSA3,BOVA11+AUVP11,BOVA11,Insurance,72.74,72.34,75.0,,1.8,0.3,,75.6,52.47,100.0,52.05,False,6,Não,,,False,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,True,True,,True,32684199936.0,8.67,1.98,6.1,5.34,22.84,17.35,79.28,8.13,,,,,,0.71,46.26,0.3,8.19,6.06,,71.59,28.18,43.07,55.45,18.4,-8.0,0.3,47.94,48.44,-16.1,25.9,10.1,44.27,55.45,-5.26,0.75,0.5,0.03,50.9900016784668,False,False,True,19.431996205661118,36.04635296150138,77.92589645209745,58.375974219824535,103.56893004182497,48.32477300741423,61.08831122679425,,45.43225465666854,42.1855629844578,37.96700668601203,4,True,4.0,-25.54029135863789,-10.899680013435475,2026-11-05,2026-06-23,última,,,False,False,,,Lateral,49.41999816894531,3.17685869625961,-8.20881659985968,True,False,False,sem sinal (Lateral)
MILS3,SMALL11,SMALL11,Bens Industriais,70.71,69.07,80.0,,,0.7,,84.08,57.03,57.15,55.48,False,7,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3582287872.0,8.2,1.95,5.39,5.7,23.81,18.37,20.65,23.53,4.87,1.28,0.87,2.98,0.99,0.65,46.78,21.3,8.4,11.12,0.54,61.6,38.32,10.3,15.81,52.7,-0.6,6.6,12.85,13.14,-15.0,27.0,24.2,12.01,15.81,8.84,0.71,0.46,0.07,15.720000267028809,False,False,False,6.405147959867497,11.881549465554206,25.401219943674597,18.647455363955977,35.23021122912658,12.298577949787486,20.3922110071862,18.541852301482045,20.34186818010959,18.647455363955977,16.78270982756038,7,True,5.5,6.760238819845976,29.40119487640662,n/d,2026-04-22,última,,,False,False,,,Lateral,15.75,-0.19047449505518177,-1.380171387364626,True,False,False,sem sinal (Lateral)
ABCB10,SMALL11,SMALL11,Produtos financeiros,70.27,73.85,50.0,,,0.4,,74.67,72.37,,,False,8,Não,,,False,1,3,False,,,,,,True,,False,,1,2,True,False,,,False,,,,True,True,True,,True,,,0.85,,,14.9,,,40.92,,,,,,,,-2.9,,1.54,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,0,True,,,,n/d,n/d,,,,False,False,,,,,,,False,False,False,histórico insuficiente
CURY3,BOVA11+SMALL11+DIVO11+AUVP11,BOVA11,Consumo discricionário,70.26,68.54,80.0,,,0.9,,89.54,32.65,56.9,86.99,False,9,Rompimento,,,False,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,-0.13,True,10368881664.0,9.06,6.01,14.9,10.4,66.38,57.38,37.72,17.89,5.84,-0.15,-0.06,1.92,0.66,2.36,94.22,8.2,7.02,16.3,0.91,70.61,24.44,26.99,40.16,24.7,-16.2,7.7,31.37,31.8,-29.9,39.7,12.2,28.13,40.16,-3.16,1.3,0.57,0.06,33.65999984741211,False,False,True,25.00248330917186,35.77262351887215,37.96868203461298,21.637348192509926,52.89919100740951,51.14837738195982,18.890923614332902,25.562486924250987,33.610264497890014,30.66755522156157,27.600799699405414,8,True,2.8,-18.001188875443642,-0.14775802064038723,n/d,2026-08-17,última,"A Cury apresenta uma eficiência operacional excepcional no setor de consumo discricionário, evidenciada por um ROE de 66,4% e um ROIC de 37,7%, ambos muito acima dos pares setoriais que registram 12,5% e 13,1%, respectivamente. Essa alta rentabilidade convive com múltiplos de preço mistos: enquanto o P/L de 9,06 sugere um valuation razoável, o P/VP de 6,01 posiciona-se em patamar elevado, indicando que o mercado cobra um prêmio expressivo pelo patrimônio líquido da companhia. No aspecto financeiro, a excelente rentabilidade é sustentada por uma estrutura de capital extremamente robusta, com o indicador de Dívida Líquida sobre EBITDA em -0,15, patamar muito abaixo da média do setor de 2,68, o que revela uma posição de caixa líquido altamente confortável. Esse endividamento negativo e a forte geração de caixa garantem a sustentabilidade de um robusto Dividend Yield de 14,9%, patamar plenamente coerente com o lucro e a saúde financeira da empresa. Por outro lado, o crescimento de longo prazo acende um sinal de alerta, visto que o CAGR de receita de 5 anos de 8,2% ficou bastante abaixo da média setorial de 33,9%. No checklist de critérios fundamentalistas, a empresa demonstra solidez ao atender 6 dos 8 requisitos avaliados, falhando apenas no crescimento frente aos pares e na ocorrência de venda por parte de insiders. Sob a ótica de valuation, as estimativas de preço-teto revelam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 21,45 por Graham e R$ 24,79 por Bazin, até os otimistas R$ 37,63 por Fluxo de Caixa Descontado e R$ 52,44 por Lynch. Essa divergência resulta em uma média de R$ 33,38 e uma mediana de R$ 30,40, sendo que o preço atual de R$ 33,37 já superou o preço-teto ajustado com margem de segurança de R$ 27,36, gerando um upside negativo de 18% frente a essa referência métrica. Em balanço, os prós da Cury residem em sua rentabilidade espetacular, endividamento sob controle e proventos generosos, enquanto os contras concentram-se no crescimento abaixo da média do setor e na ausência de margem de segurança no preço atual.",Rompimento,False,False,,,Em Alta,32.849998474121094,2.4657577196818714,-16.369409337502606,True,True,True,"Rompimento (vol x1.2, +2.5% do topo, MM50>MM200)"
LEVE3,SMALL11+DIVO11+AUVP11,SMALL11,Consumo discricionário,70.26,70.3,70.0,,,0.9,,85.84,58.41,35.33,100.0,False,10,Não,,,False,6,8,False,,True,,True,False,True,False,True,True,7,10,True,True,True,False,False,True,True,True,True,True,True,1.2,True,4459233792.0,6.36,4.6,8.72,19.55,72.29,64.73,34.45,13.0,5.2,1.21,0.49,1.43,1.7,0.25,124.34,25.8,6.46,14.14,0.81,77.23,22.71,24.65,35.6,33.5,-7.6,0.2,32.23,31.22,-12.3,24.5,4.3,31.18,35.6,-11.06,0.63,0.45,0.11,32.900001525878906,True,True,True,45.94450260063297,85.22705232417417,68.54166984558104,28.85225111998107,155.18868644282503,98.51666666666667,62.5927701986061,26.30383636103814,71.39592944493815,65.56722002209357,59.01049801988421,8,True,5.9,79.3632075471698,117.0088940232377,n/d,2026-04-30,última,,,False,False,,,Em Alta,34.0,-3.2352896297679234,-9.141114725996013,True,False,False,sem sinal (Em Alta)
