ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,desvio_padrao,momentum_12_1,var_95,sharpe,beta,corr_ibov,corr_usd,close,div_ge5_5a,divo_qualidade_ok,auvp_ok,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VULC3,SMALL11+DIVO11,SMALL11,Consumo discricionário,77.34,78.64,70.0,,,0.9,,87.33,66.18,65.68,96.58,False,1,Não,,,False,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4105455872.0,4.45,1.56,30.31,15.44,35.06,31.82,17.83,24.89,6.01,0.76,0.6,2.96,0.37,0.41,68.71,-64.7,5.73,11.45,1.64,37.42,62.57,13.01,20.08,0.5,-34.9,-10.3,16.97,16.74,-35.2,25.8,-34.4,13.01,19.91,-49.77,1.62,-20.5,-2.78,-1.59,0.87,0.59,0.14,13.069999694824219,False,False,False,14.414130218820734,26.73821155591246,38.91629122616199,23.530141120019696,77.5714837651824,47.87323006770854,28.10106661111163,9.083740294430292,,,,6,False,8.5,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,13.670000076293945,-4.389176138412953,-35.3921678396524,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.4%))
JHSF3,SMALL11+DIVO11+AUVP11,SMALL11,Imobiliário,77.03,74.74,90.0,,,0.8,,86.65,79.18,44.49,70.55,False,2,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.33,True,7614992384.0,3.74,1.06,6.11,8.09,28.4,16.71,13.12,52.59,4.96,1.22,1.3,1.73,0.86,0.25,30.27,90.2,9.06,7.25,0.72,61.6,36.26,5.01,13.76,129.2,-16.5,4.6,9.22,8.91,-27.9,39.4,55.7,7.38,13.76,40.33,2.48,110.3,-3.79,1.92,1.38,0.61,0.06,11.489999771118164,False,False,True,6.642211192857666,12.32130176275097,40.70654999126087,27.373009324985865,70.94677894833684,19.57807411896471,37.17352867126465,18.63989176638346,,,,6,False,10.7,,,n/d,2026-10-01,próxima,,,False,False,,,Em Alta,11.65999984741211,-1.457976659679594,-18.26998999836459,True,False,False,sem sinal (Em Alta)
MDNE3,SMALL11,SMALL11,Imobiliário,74.29,71.52,90.0,,,0.8,,72.46,75.1,59.97,81.51,False,3,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$25.13, preço 2.6% acima do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2666023168.0,4.81,1.17,15.01,9.3,24.38,16.15,10.98,21.43,4.62,0.91,1.16,2.38,0.48,0.36,44.73,19.5,4.03,6.4,1.12,72.76,27.27,20.62,34.28,25.0,-24.8,-4.7,25.63,26.53,-33.9,44.9,12.1,22.65,34.28,-3.27,2.83,15.1,-5.03,0.3,1.65,0.64,0.12,25.780000686645508,False,False,False,17.124502789598143,31.765952674704554,71.01559440707962,51.54763142596438,122.06196844960213,25.573454633715528,59.712983108654726,44.314058525459856,47.32161246259645,47.93084497571212,43.13776047814091,6,True,7.1,67.33033098981656,83.55939178508196,n/d,2026-01-02,última,,,False,False,,,Em Alta,25.920000076293945,-0.5401211004489093,-24.79579461882849,True,False,False,sem sinal (Em Alta)
POMO3,SMALL11+DIVO11,SMALL11,Bens Industriais,73.57,74.2,70.0,,,0.7,,79.6,74.91,52.35,91.78,False,4,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5337995264.0,4.48,1.27,21.49,12.72,28.32,24.74,18.39,13.19,4.7,1.29,0.98,1.94,0.81,0.37,57.0,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,15.3,-33.6,-16.3,5.54,5.4,-42.4,35.2,-18.9,3.73,6.43,-34.27,2.22,-29.1,-3.47,-1.05,0.91,0.45,0.05,4.300000190734863,False,False,False,3.908031256052641,7.249397979977649,12.717634492686814,8.551038591084707,23.90017941402666,11.134795678245755,9.910574451632423,5.427221201663706,8.4140990930491,8.551038591084707,7.695934731976236,7,True,6.1,78.97521838623484,95.67671441454387,n/d,2026-08-26,última,,,False,False,,,Lateral,4.340000152587891,-0.9216580748084957,-34.16759691282044,True,False,False,sem sinal (Lateral)
POMO4,BOVA11+SMALL11+DIVO11+AUVP11+Carteira,BOVA11,Bens Industriais,72.79,73.28,70.0,,,0.7,,79.6,73.43,52.35,86.3,False,5,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5673171456.0,4.75,1.34,20.27,10.22,28.32,24.74,18.39,13.19,4.92,1.29,0.98,1.94,0.81,0.33,48.54,-14.0,4.82,8.76,1.02,59.93,39.42,3.93,7.69,16.2,-40.6,-15.6,5.79,5.88,-48.9,34.9,-18.9,3.93,6.81,-34.27,2.2,-39.0,-3.25,-1.53,0.98,0.49,0.05,4.570000171661377,False,False,True,3.33588866841398,6.188073479907932,12.747895215686997,8.592277038923706,23.852783600997707,11.532151465567923,11.383201157793042,5.418823473685811,11.387886490366158,11.383201157793042,10.244881042013738,7,True,7.2,124.17681963213836,149.18787883165896,n/d,2026-08-26,última,"A Marcopolo (POMO4) apresenta uma sólida combinação de alta qualidade e preço atrativo, evidenciada por um ROE de 28,3% e um ROIC de 18,4% que se posicionam significativamente acima das médias do setor de bens industriais, de 14,5% e 12,6%, respectivamente. Essa forte rentabilidade operacional convive com múltiplos de valuation bastante comprimidos, como o P/L de 4,75 e o P/VP de 1,34, sugerindo que o mercado ainda não precificou totalmente a eficiência da companhia. O excelente retorno sobre o capital é sustentado por um endividamento sob controle, visto que a relação Dívida Líquida/EBITDA de 1,29 está bem abaixo da média setorial de 2,39, garantindo folga financeira para a operação. Essa estrutura de capital saudável, somada à forte geração de caixa, confere sustentabilidade ao expressivo Dividend Yield de 20,27%, que se mostra coerente com o lucro robusto e a segurança do balanço. Por outro lado, o crescimento histórico da receita nos últimos cinco anos foi negativo em 14,0%, ficando muito aquém da média dos pares que cresceram 21,6%, o que acende um alerta sobre a capacidade de expansão de longo prazo. No checklist de critérios fundamentalistas, a empresa atende a 5 de 8 requisitos, sendo penalizada justamente pela falta de crescimento frente ao setor, pela margem líquida de 13,19% (abaixo do sarrafo de 15%) e por vendas de papéis por insiders. Sob a ótica do valuation, os métodos de preço-teto revelam uma dispersão acentuada, variando desde os conservadores R$ 3,33 pelo método de Bazin até os otimistas R$ 23,8 por Lynch, estabelecendo uma média de R$ 11,37 e um preço ajustado com margem de segurança de R$ 10,22, o que aponta para um expressivo potencial de valorização perante a cotação atual de R$ 4,56. Em suma, o papel destaca-se positivamente pelo seu excepcional retorno de dividendos, eficiência operacional superior e baixo endividamento, mas traz como contrapartidas o histórico recente de retração na receita e a falta de alinhamento nas transações de insiders.",,False,True,4.45,2.7,Lateral,4.599999904632568,-0.6521681215901576,-40.816653149706475,True,False,False,sem sinal (Lateral)
PSSA3,BOVA11+AUVP11,BOVA11,Insurance,72.61,72.19,75.0,,1.8,0.3,,75.6,51.87,100.0,52.05,False,6,Não,,,False,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,True,True,,True,32972644352.0,8.99,2.05,5.88,5.34,22.84,17.35,79.28,8.13,,,,,,0.76,47.96,0.3,8.26,6.06,,71.59,28.18,43.07,55.45,19.4,-7.2,1.3,47.94,48.46,-16.1,25.9,11.1,44.27,55.45,-4.27,1.63,5.6,-2.69,-0.12,0.75,0.5,0.03,51.439998626708984,False,False,True,19.602391572304132,36.36243636662416,75.81534836528297,56.83756069506801,98.53441502723135,48.15719723069334,58.03349712828041,,44.984343383726156,42.25981679865875,38.03383511879287,4,True,3.9,-26.061749350349483,-12.549874446596277,2026-11-05,2026-06-23,última,,,False,False,,,Lateral,51.2400016784668,0.390314093854216,-7.398741074346493,True,False,False,sem sinal (Lateral)
MILS3,SMALL11,SMALL11,Bens Industriais,71.07,69.49,80.0,,,0.7,,84.08,58.71,57.15,55.48,False,7,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3583808768.0,8.2,1.95,5.39,5.7,23.81,18.37,20.65,23.53,4.87,1.28,0.87,2.98,0.99,0.65,46.75,21.3,8.4,11.12,0.54,61.6,38.32,10.3,15.81,52.8,-0.5,6.3,12.87,13.18,-15.0,26.9,24.3,12.01,15.81,8.93,1.69,41.3,-1.96,0.93,0.71,0.46,0.07,15.729999542236328,False,False,False,6.406188837097476,11.883480292815818,25.41737730910138,18.659316752946864,35.25755315724996,12.299153298239835,20.411537926623584,18.90386629774005,20.40461214781678,18.90386629774005,17.013479667966045,7,True,5.5,8.159441596189932,29.717817810666425,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.75,-0.12698703342013395,-1.3174406755029677,True,False,False,sem sinal (Em Alta)
LEVE3,SMALL11+DIVO11+AUVP11,SMALL11,Consumo discricionário,70.55,70.65,70.0,,,0.9,,85.84,59.84,35.33,100.0,False,8,Não,,,False,6,8,False,,True,,True,False,True,False,True,True,7,10,True,True,True,False,False,True,True,True,True,True,True,1.2,True,4475497984.0,6.37,4.61,8.7,19.55,72.29,64.73,34.45,13.0,5.22,1.21,0.49,1.43,1.7,0.25,124.54,25.8,6.48,14.14,0.81,77.23,22.71,24.65,35.6,34.0,-7.2,0.7,32.28,31.28,-12.3,24.5,4.7,31.18,35.6,-10.67,1.54,26.3,-2.25,0.62,0.63,0.44,0.11,33.02000045776367,True,True,True,46.11202722652287,85.53781050519991,68.68367442156493,28.903348216909798,155.5102062375055,98.51666666666667,62.72244984912722,26.350453407696364,71.54207956639917,65.70306213534607,59.132755921811466,8,True,5.9,79.0816326530612,116.6628666704884,n/d,2026-04-30,última,,,False,False,,,Em Alta,32.97999954223633,0.12128840534433305,-8.809717501696646,True,False,False,sem sinal (Em Alta)
CURY3,BOVA11+SMALL11+DIVO11+AUVP11,BOVA11,Consumo discricionário,70.22,68.5,80.0,,,0.9,,89.54,32.51,56.9,86.99,False,9,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$32.96, preço 1.1% acima do pescoço; falta fechar acima e segurar",False,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,-0.13,True,10267226112.0,9.2,6.11,14.68,10.4,66.38,57.38,37.72,17.89,5.93,-0.15,-0.06,1.92,0.66,3.2,95.67,8.2,6.95,16.3,0.91,70.61,24.44,26.99,40.16,23.5,-17.0,6.8,31.45,31.83,-29.9,39.8,11.1,28.13,40.16,-4.27,2.51,5.1,-3.92,0.17,1.32,0.57,0.06,33.33000183105469,False,False,True,24.757489944300612,32.04352868577896,33.49293436904028,21.08686791947645,48.08134453284495,50.67218840264027,16.219603732319385,24.99179340826858,31.418218874333686,28.517661047023772,25.665894942321394,8,True,3.1,-22.99461886495424,-5.735922147294126,n/d,2026-08-17,última,,,False,False,,,Em Alta,33.65999984741211,-0.980386268132416,-17.189312164315762,True,False,False,sem sinal (Em Alta)
PETR4,BOVA11+DIVO11+AUVP11,BOVA11,Energia,70.2,73.77,50.0,,,0.9,DY5a=41.0%>=20,85.49,82.74,36.19,,False,10,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$46.87, preço 0.3% acima do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,True,False,True,True,True,False,5,10,True,True,True,True,True,True,True,False,True,True,True,0.61,True,642320433152.0,4.6,1.27,7.66,41.01,27.73,30.77,19.69,24.32,2.87,1.29,0.92,0.85,0.76,0.31,188.64,96.8,4.76,10.07,0.28,65.87,33.99,26.84,48.2,75.2,-2.4,13.7,37.17,36.14,-22.2,26.2,62.8,27.87,48.2,47.43,1.65,40.0,-2.55,1.54,0.38,0.25,-0.06,47.02000045776367,True,True,True,137.73046907448284,255.49002013316567,135.43804479681927,92.27692455857014,306.6521768984587,55.54208666666666,123.68304468237837,57.71260507047148,145.56567148512664,129.5605447395988,116.60449026563893,8,True,5.5,147.9891304347826,209.58245441933357,n/d,2026-08-24,última,,,False,False,,,Em Alta,48.20000076293945,-2.4481333744771905,-4.411462145817291,True,False,False,sem sinal (Em Alta)
