ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,desvio_padrao,momentum_12_1,var_95,sharpe,liquidez_media,preco_p10_1a,preco_p50_1a,preco_p90_1a,g_implicito,teto_dispersao,teto_confiavel,teto_n_metodos,cagr_5a,cagr_3a,cagr_1a,desacelerando,anos_atipicos,beta,corr_ibov,corr_usd,close,div_ge5_5a,divo_qualidade_ok,auvp_ok,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VULC3,SMALL11+DIVO11,SMALL11,Consumo discricionário,77.74,78.63,72.72727272727273,,,0.9,,87.33,65.97,65.89,96.55,False,1,Não,,,False,6,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4080326912.0,4.47,1.57,22.85,15.44,35.06,31.82,17.83,24.89,6.03,0.76,0.6,2.96,0.37,0.41,69.0,-64.7,5.69,11.45,1.64,37.42,62.57,12.99,20.08,0.0,-35.3,-10.3,16.9,16.7,-35.3,25.6,-34.8,12.99,19.91,-50.29,1.62,-24.8,-2.78,-1.72,30361645.0,6.69,9.3,12.94,-6.8,8.5,False,6,,12.0,16.8,False,2025,0.86,0.59,0.15,12.989999771118164,False,False,False,14.322862678425851,26.568910268479957,38.50503287859411,23.259309341409086,76.44250858611943,48.79173505061582,27.615721112197964,9.01851909492348,,,,6,False,8.5,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,13.670000076293945,-4.9743986933475925,-35.78762474587468,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.0%))
JHSF3,SMALL11+DIVO11+AUVP11,SMALL11,Imobiliário,77.25,74.84,90.9090909090909,,,0.8,,86.44,80.3,44.52,69.66,False,2,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,10,11,True,True,True,True,True,True,True,False,True,True,True,0.33,True,7601737728.0,3.71,1.05,6.16,8.09,28.4,16.71,13.12,52.59,4.92,1.22,1.3,1.73,0.86,0.25,30.02,90.2,9.04,7.25,0.72,61.6,36.26,5.01,13.76,128.8,-16.6,4.7,9.24,8.96,-27.9,39.3,55.5,7.38,13.76,40.01,2.48,92.0,-3.79,1.8,42212184.0,15.03,24.81,40.94,-10.2,10.8,False,6,,21.6,116.4,False,2025,1.38,0.61,0.06,11.470000267028809,False,False,True,6.629150507315558,12.297074191070358,40.96428666796003,27.56595753076315,71.3903264441644,19.57807411896471,37.40889574960879,20.40299770340103,,,,6,False,10.8,,,n/d,2026-10-01,próxima,,,False,False,,,Em Alta,11.65999984741211,-1.6294989954521388,-18.412238017341675,True,False,False,sem sinal (Em Alta)
MDNE3,SMALL11+DIVO11,SMALL11,Imobiliário,74.32,71.39,90.9090909090909,,,0.8,,72.22,75.07,60.29,80.69,False,3,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,10,11,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2599837696.0,4.9,1.19,14.75,9.3,24.38,16.15,10.98,21.43,4.7,0.91,1.16,2.38,0.48,0.37,45.59,19.5,3.93,6.4,1.12,72.76,27.27,20.62,34.28,21.9,-26.7,-6.6,25.73,26.56,-33.9,45.1,9.3,22.65,34.28,-6.19,2.84,8.9,-5.03,0.23,26086987.0,16.22,28.92,51.58,-5.3,6.9,True,7,,43.4,50.1,False,,1.66,0.64,0.13,25.139999389648438,False,False,False,16.708379438334052,30.994043858109666,67.9806105944575,49.38385640524473,115.79350976154873,25.528680534910634,56.483670135394725,45.71535660383438,55.982818270500054,49.38385640524473,44.445470764720255,7,True,6.9,76.7918529982979,122.6842467369007,n/d,2026-01-02,última,,,False,False,,,Em Alta,26.299999237060547,-4.4106459355995,-26.66277629848828,True,False,False,sem sinal (Em Alta)
POMO3,SMALL11+DIVO11,SMALL11,Bens Industriais,73.96,74.18,72.72727272727273,,,0.7,,79.67,74.92,52.5,91.03,False,4,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5201441792.0,4.49,1.27,21.44,12.73,28.32,24.74,18.39,13.19,4.71,1.29,0.98,1.94,0.81,0.37,57.14,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,12.3,-35.3,-17.8,5.52,5.39,-42.4,35.3,-21.0,3.73,6.43,-36.49,2.22,-32.5,-3.47,-1.14,7837941.0,1.92,3.02,4.76,-6.8,6.1,True,7,,18.7,5.4,True,,0.93,0.46,0.05,4.190000057220459,False,False,False,3.808645967286592,7.065038269316627,12.364699500706253,8.323006944043081,23.202786741172872,11.13097105872126,9.61293873190518,4.9119605316312365,8.173894429087175,8.323006944043081,7.490706249638773,7,True,6.1,78.775803039199,95.08100996326792,n/d,2026-08-26,última,,,False,False,,,Lateral,4.340000152587891,-3.45622327404731,-35.851688509021514,True,False,False,sem sinal (Lateral)
POMO4,BOVA11+SMALL11+DIVO11+AUVP11+Carteira,BOVA11,Bens Industriais,73.09,73.15,72.72727272727273,,,0.7,,79.67,72.98,52.5,85.52,False,5,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5536617984.0,4.78,1.35,20.13,10.22,28.32,24.74,18.39,13.19,4.94,1.29,0.98,1.94,0.81,0.33,48.86,-14.0,4.71,8.76,1.02,59.93,39.42,3.93,7.69,13.4,-42.0,-17.0,5.78,5.86,-48.9,34.9,-20.9,3.93,6.81,-36.39,2.2,-42.4,-3.25,-1.63,57912585.0,1.73,2.72,4.28,-5.7,7.1,True,7,,18.7,5.4,True,,0.98,0.49,0.06,4.460000038146973,False,False,True,3.256159719280826,6.040176279265932,12.3629708170392,8.328087680983211,23.050948060111242,11.523170270685954,10.987151871067221,4.899391025519935,11.027413714953243,10.987151871067221,9.8884366839605,7,True,7.1,121.71382509828223,147.25142647162127,n/d,2026-08-26,última,"A Marcopolo (POMO4) apresenta uma sólida combinação de alta qualidade e valuation atrativo no setor de bens industriais, evidenciada por um ROE de 28,3% e um ROIC de 18,4% que se posicionam bem acima dos seus pares setoriais, de 10,8% e 13,3%, respectivamente. Essa expressiva rentabilidade operacional convive com múltiplos de preço bastante descontados, visto que o P/L de 4,77 e o P/VP de 1,35 sugerem que o mercado ainda não precificou totalmente a eficiência da companhia. A estrutura de capital mostra-se altamente saudável, pois a relação dívida líquida sobre EBITDA de 1,29 está confortavelmente abaixo da média do setor de 2,38, indicando que o expressivo dividend yield de 20,18% é sustentável e amparado por uma sólida geração de caixa, e não por endividamento excessivo. Por outro lado, o crescimento histórico acende um sinal de alerta, dado que o CAGR de receita dos últimos cinco anos contraiu 14,0%, situando-se severamente abaixo da média setorial de 47,1%. Esse descompasso histórico é refletido no checklist de critérios da empresa, que atendeu a 5 de 8 requisitos fundamentais, penalizado justamente pela falta de expansão recente da receita, pela margem líquida de 13,19% que ficou abaixo do sarrafo de 15% e por movimentações de insiders. No campo do valuation, as estimativas de preço-teto revelam uma enorme dispersão entre os métodos, variando desde os conservadores R$ 3,35 pelo modelo de Bazin até os otimistas R$ 23,8 pelo critério de Lynch. Tomando como referência a média de R$ 11,32 e a mediana de R$ 11,35, o preço-teto ajustado com margem de segurança de R$ 10,22 projeta um expressivo potencial de valorização de 122,6% frente à cotação atual de R$ 4,59. Em suma, os principais pontos positivos da tese residem na extraordinária rentabilidade, no endividamento sob controle e no robusto retorno em proventos, enquanto os pontos negativos concentram-se na retração histórica de receita e na tendência lateralizada de curto prazo do papel.",,False,True,4.45,0.22,Lateral,4.599999904632568,-3.043475421480002,-42.241195585662375,True,False,False,sem sinal (Lateral)
PSSA3,BOVA11+AUVP11,BOVA11,Insurance,72.96,72.11,77.77777777777777,,1.8,0.3,,75.78,51.64,100.0,51.03,False,6,Não,,,False,4,6,False,,True,,False,False,True,,True,True,7,9,True,False,True,,True,,True,False,True,True,True,,True,32286783488.0,8.98,2.05,5.89,5.33,22.84,17.35,79.28,8.13,,,,,,0.75,47.91,0.3,8.13,6.06,,71.59,28.18,43.07,55.45,17.0,-9.2,-0.8,47.98,48.48,-16.1,25.9,8.8,44.27,55.45,-6.69,1.63,0.9,-2.69,-0.22,85935970.0,37.9,52.91,73.86,2.6,3.9,True,4,,20.5,17.0,True,2023,0.74,0.5,0.03,50.369998931884766,False,False,True,19.19390455869658,35.60469295638216,74.3209895153088,55.68626654634553,96.66181125371315,47.96569065338875,56.934074856303674,,44.271319420944074,41.78519180488546,37.606672624396914,4,True,3.9,-25.339143494419503,-12.107761842893671,2026-11-05,2026-06-23,última,,,False,False,,,Lateral,51.65999984741211,-2.4970981791281766,-9.32493317069194,True,False,False,sem sinal (Lateral)
MILS3,SMALL11,SMALL11,Bens Industriais,71.23,69.36,81.81818181818181,,,0.7,,84.0,58.35,57.62,54.48,False,7,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,9,11,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3590643968.0,8.22,1.96,5.37,5.7,23.81,18.37,20.65,23.53,4.88,1.28,0.87,2.98,0.99,0.65,46.84,21.3,8.42,11.12,0.54,61.6,38.32,10.3,15.81,53.0,-0.3,6.1,12.89,13.21,-15.0,26.8,24.6,12.01,15.81,9.11,1.69,41.5,-1.96,0.95,8199402.0,16.15,22.61,31.65,1.6,5.5,True,7,,18.9,16.7,True,,0.7,0.45,0.07,15.760000228881836,False,False,False,6.415327547675299,11.900432600937679,25.40389331297862,18.624453329574543,35.19181273860479,12.005896333937425,20.374440571309517,17.597048196795196,20.15685386916254,18.624453329574543,16.76200799661709,7,True,5.5,6.357917215629039,27.89881710929809,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.789999961853027,-0.18999197621069053,-1.129230591216468,True,False,False,sem sinal (Em Alta)
PETR4,BOVA11+DIVO11+AUVP11,BOVA11,Energia,70.95,73.84,54.54545454545455,,,0.9,DY5a=41.0%>=20,85.44,82.73,36.6,,False,8,Não,,,False,7,8,False,,True,,True,False,True,True,True,False,6,11,True,True,True,True,True,True,True,False,True,True,True,0.61,True,663635492864.0,4.65,1.29,7.58,41.01,27.73,30.77,19.69,24.32,2.9,1.29,0.92,0.85,0.76,0.31,190.67,96.8,4.92,10.07,0.28,65.87,33.99,26.84,48.56,80.9,0.0,17.2,37.23,36.3,-22.2,26.2,68.2,27.87,48.56,52.71,1.65,44.9,-2.55,1.72,2107102800.0,60.58,84.76,118.6,-6.2,5.6,True,8,,-10.5,-2.4,False,,0.38,0.25,-0.06,48.560001373291016,True,True,True,142.2296567477999,263.8360132671688,138.3698963862593,94.04779501449975,313.2903314405872,55.87236666666667,126.36043368103684,57.59119712650347,148.94971129131525,132.36516503364808,119.12864853028327,8,True,5.6,145.32258064516128,206.733334182401,n/d,2026-08-24,última,,,False,False,,,Em Alta,48.20000076293945,0.7468892212723066,-1.2807425716736986,True,False,False,sem sinal (Em Alta)
PETR3,BOVA11+DIVO11+AUVP11,BOVA11,Energia,69.91,72.62,54.54545454545455,,,0.9,DY5a=38.8%>=20,85.44,78.34,36.6,,False,9,Não,,,False,7,8,False,,True,,True,False,True,True,True,False,6,11,True,True,True,True,True,True,True,False,True,True,True,0.65,True,694058221568.0,5.14,1.43,6.85,38.85,27.73,30.77,19.69,24.32,3.1,1.29,0.92,0.85,0.76,0.34,199.68,96.8,3.64,10.07,0.28,65.87,33.99,28.69,53.87,87.7,0.0,16.3,41.41,39.89,-22.9,29.3,76.3,29.47,53.87,60.81,1.84,49.7,-2.83,1.65,535467356.0,66.14,96.22,139.99,-4.6,5.6,True,8,,-10.5,-2.4,False,,0.4,0.24,-0.06,53.869998931884766,True,True,True,149.48620431999515,277.296909013591,138.86721514542276,94.2515818366997,314.41633617831576,55.87236666666667,126.81458892525403,56.841193433579605,151.7307994399406,132.8409020353384,119.55681183180455,8,True,5.6,121.93579766536962,181.66104037201612,2026-11-10,2026-08-24,última,,,False,False,,,Em Alta,53.540000915527344,0.6163578832919292,-1.2284597953716392,True,False,False,sem sinal (Em Alta)
LEVE3,SMALL11+DIVO11+AUVP11,SMALL11,Consumo discricionário,69.65,70.71,63.63636363636363,,,0.9,,86.22,59.18,35.56,100.0,False,10,Não,,,False,6,8,False,,True,,True,False,True,False,True,True,7,11,True,True,True,False,False,True,True,True,True,True,True,1.2,True,4428059136.0,6.41,4.63,8.66,19.55,72.29,64.73,34.45,13.0,5.24,1.21,0.49,1.43,1.7,0.25,125.32,25.8,6.41,14.14,0.81,77.23,22.71,24.65,35.6,32.5,-8.2,-0.3,32.31,31.33,-12.3,24.5,3.5,31.18,35.6,-11.99,1.54,21.4,-2.25,0.51,8678130.0,30.27,41.29,56.32,-1.4,5.9,True,8,,8.6,18.6,False,,0.62,0.44,0.11,32.66999816894531,True,True,True,45.62340752402048,84.63142095705798,67.5315874787091,28.445977286099723,152.90170749896402,98.51666666666667,61.67035535791549,26.022830373257396,70.66799414283636,64.6009714183123,58.14087427648107,8,True,5.9,77.96411856474259,116.30853414007932,n/d,2026-04-30,última,,,False,False,,,Em Alta,32.97999954223633,-0.9399677913700666,-9.776307663717521,True,False,False,sem sinal (Em Alta)
