ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
ABCB2,SMALL11,,85.7,78.5,98.67,,,1,Não,4,4,True,True,True,,True,True,,,,True,,,0.0,,,15.0,,41.54,,,,,,,,,,,,,,0.0,,,n/d,n/d,,,,,,,,True,False,False,histórico insuficiente
VULC3,SMALL11,Consumer Cyclical,79.74,89.75,48.47,87.52,97.32,2,Não,6,7,False,True,True,True,True,True,,True,False,True,4385016320.0,4.77,1.67,29.02,15.46,35.06,17.83,24.89,,2.96,0.37,0.43,13.960000038146973,15.42,28.6,38.78,23.46,78.02,26.56,26.03,23.43,4.0,67.81,90.28,n/d,2025-12-23,última,,,Em Baixa,14.5,-3.72413766795191,-30.992703865156756,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.7%))
VTRU3,SMALL11,Consumer Defensive,76.08,88.84,85.14,66.01,16.11,3,Não,7,7,True,True,True,True,True,True,,True,True,True,2111496960.0,1.74,0.52,0.19,0.21,29.95,14.79,48.63,,2.13,0.76,0.0,12.960000038146973,0.19,0.35,98.69,64.63,223.45,81.66,81.66,73.49,2.0,467.07,530.08,n/d,2026-05-04,última,,,Em Baixa,13.119999885559082,-1.2195110427418387,-25.293557362622444,True,False,False,sem sinal (Em Baixa; sem novo topo (-1.2%))
MDNE3,SMALL11,Real Estate,75.74,74.36,66.19,83.38,90.6,4,Não,5,7,False,True,True,False,True,True,,True,False,True,2602168320.0,5.16,1.24,15.47,9.19,23.93,11.1,19.89,,2.78,0.43,0.06,25.09000015258789,16.48,30.57,64.43,47.05,145.87,47.35,47.05,42.34,3.0,68.77,88.71,n/d,2026-01-02,última,,,Em Baixa,26.799999237060547,-6.380593780420607,-26.808631721011633,True,False,False,sem sinal (Em Baixa; sem novo topo (-6.4%))
POMO3,SMALL11,Industrials,73.59,81.87,61.81,58.85,95.3,5,Não,4,7,False,True,True,True,False,False,,True,False,True,5400091136.0,4.53,1.28,21.7,11.85,28.32,18.39,13.81,,1.97,0.84,0.2,4.349999904632568,3.68,6.83,12.72,8.57,28.81,7.95,7.7,6.93,4.0,59.28,82.77,n/d,2026-04-27,última,,,Em Baixa,5.199999809265137,-16.346152611738084,-35.46839081107605,True,False,False,sem sinal (Em Baixa; sem novo topo (-16.3%))
PLPL3,SMALL11,Real Estate,73.33,81.33,73.13,61.21,62.08,6,Não,4,7,False,True,True,True,False,False,,True,False,True,1493680896.0,4.47,1.41,6.7,6.32,31.56,29.38,9.85,,2.87,1.28,,7.360000133514404,3.32,4.84,17.12,13.91,,11.96,13.91,12.52,3.0,70.05,62.45,n/d,2025-12-30,última,,,Em Baixa,8.300000190734863,-11.32530163396579,-57.654018570770084,True,False,False,sem sinal (Em Baixa; sem novo topo (-11.3%))
POMO4,BOVA11+SMALL11,Industrials,72.72,81.87,58.59,58.85,94.63,7,Não,4,7,False,True,True,True,False,False,,True,False,True,5784925184.0,4.85,1.37,20.26,9.47,28.32,18.39,13.81,,1.97,0.84,0.21,4.659999847412109,3.15,5.85,12.73,8.58,28.82,9.05,8.58,7.72,3.0,65.62,94.23,n/d,2026-04-27,última,,,Em Baixa,5.619999885559082,-17.081851560419935,-41.3906633420233,True,False,False,sem sinal (Em Baixa; sem novo topo (-17.1%))
VLID3,SMALL11,Industrials,71.73,65.96,72.48,80.4,78.52,8,Não,3,7,False,True,False,True,False,False,,True,False,True,1434195712.0,6.48,0.85,9.43,8.3,13.18,15.68,12.13,,2.32,0.43,,18.329999923706055,10.87,15.82,29.42,37.05,,23.29,22.62,20.36,4.0,11.06,27.05,2026-11-04,2026-05-12,última,,,Em Alta,18.65999984741211,-1.7684883515785343,-20.575539961469012,True,False,False,sem sinal (Em Alta; sem novo topo (-1.8%))
MILS3,SMALL11,Industrials,71.65,86.65,56.0,61.75,63.09,9,Não,6,7,False,True,True,True,True,True,,True,False,True,3554190848.0,8.14,1.94,6.81,5.74,23.81,20.65,22.79,,2.21,1.05,0.04,15.600000381469727,6.39,11.86,25.39,18.62,57.49,18.62,18.62,16.76,3.0,7.43,19.38,n/d,2026-04-22,última,,,Lateral,15.8100004196167,-1.3282734508116123,-2.132993775809111,True,False,False,sem sinal (Lateral; sem novo topo (-1.3%))
TGMA3,SMALL11,Industrials,71.05,79.55,39.22,84.26,85.91,10,Não,5,7,False,True,True,True,False,False,,True,True,True,2212871680.0,8.72,2.23,11.44,10.1,25.55,27.01,10.14,,2.22,0.23,0.37,33.560001373291016,24.2,44.9,50.99,36.1,115.46,39.05,40.5,36.45,4.0,8.61,16.36,n/d,2026-08-07,próxima,,,Em Alta,34.20000076293945,-1.8713432028398258,-17.926138727732678,True,False,False,sem sinal (Em Alta; sem novo topo (-1.9%))
CURY3,BOVA11+SMALL11,Real Estate,70.95,90.67,34.37,63.83,87.92,11,Não,6,7,False,True,True,True,True,True,,True,False,True,9866763264.0,9.27,6.39,13.1,9.82,68.95,37.57,18.37,,1.94,0.71,0.28,32.029998779296875,22.47,41.69,45.78,19.74,103.66,46.67,41.69,37.52,5.0,17.13,45.7,n/d,2026-05-18,última,,,Em Baixa,33.59000015258789,-4.644243424246685,-21.965224722820587,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.6%))
JHSF3,SMALL11,Real Estate,70.93,85.15,57.62,62.31,57.38,12,Não,5,7,False,True,True,True,True,False,,True,False,True,7233826816.0,3.87,1.05,6.21,7.77,27.12,12.14,53.01,,1.92,0.74,0.74,10.850000381469727,6.03,10.08,33.52,25.53,36.37,31.81,33.52,30.16,3.0,178.01,193.16,n/d,2026-08-31,próxima,,,Lateral,11.33961009979248,-4.3176944710975,-23.34158944412654,True,False,False,sem sinal (Lateral; sem novo topo (-4.3%))
GRND3,SMALL11,Consumer Cyclical,68.85,65.63,52.33,81.52,99.33,13,Não,4,7,False,True,True,False,True,False,,True,False,True,3238754304.0,5.11,1.02,42.83,19.55,19.96,7.6,24.95,,2.05,0.02,,3.5899999141693115,5.01,7.3,7.31,7.46,,6.77,7.3,6.57,4.0,83.07,88.56,2026-08-06,2026-04-24,última,,,Em Baixa,3.9000000953674316,-7.948722400451991,-27.798860122580273,True,False,False,sem sinal (Em Baixa; sem novo topo (-7.9%))
RIAA3,SMALL11,Consumer Cyclical,68.54,66.54,72.21,53.4,98.66,14,Não,4,7,False,True,True,False,False,True,,True,False,True,3901029888.0,2.55,0.72,41.67,13.08,28.35,8.96,14.2,,1.6,0.7,0.48,7.769999980926514,7.26,12.3,36.88,27.2,56.01,33.1,32.04,28.84,4.0,271.12,325.97,2026-11-04,2026-07-01,última,,,Em Baixa,8.890000343322754,-12.59842878676004,-28.277776823617764,True,False,False,sem sinal (Em Baixa; sem novo topo (-12.6%))
PETR4,BOVA11,Energy,68.21,83.19,71.8,31.26,65.77,15,Não,5,7,False,True,True,True,True,False,,True,False,True,572909944832.0,5.02,1.21,7.08,39.11,24.17,16.79,21.6,,0.74,0.83,,41.93000030517578,117.14,170.56,86.87,80.7,,113.82,102.0,91.8,4.0,118.94,171.44,n/d,2026-06-02,última,,,Em Alta,43.04999923706055,-2.6016235812626687,-14.703486818551603,True,False,False,sem sinal (Em Alta; sem novo topo (-2.6%))
LAVV3,SMALL11,Real Estate,67.82,69.64,46.72,76.0,95.97,16,Não,4,7,False,True,True,False,True,False,,True,False,True,2065741056.0,5.72,1.42,24.34,13.98,24.9,8.69,22.06,,4.22,0.85,,10.569999694824219,10.56,15.37,19.22,17.59,,15.68,16.48,14.83,4.0,40.34,48.39,n/d,2026-02-03,última,,,Em Baixa,11.289999961853027,-6.377327453158244,-44.3098000539846,True,False,False,sem sinal (Em Baixa; sem novo topo (-6.4%))
INTB3,SMALL11,Industrials,67.35,72.86,40.58,86.85,70.47,17,Não,5,7,False,True,True,True,False,False,,True,True,True,4950704128.0,8.31,1.5,7.95,4.3,18.07,17.52,13.1,,2.64,0.26,0.58,15.130000114440918,4.65,8.63,24.12,20.33,33.87,21.74,22.23,20.0,4.0,32.21,43.67,n/d,2026-08-04,última,,,Lateral,15.020000457763672,0.7323545494327011,-3.378570715285678,True,False,False,sem sinal (Lateral; sem novo topo (+0.7%))
RECV3,BOVA11+SMALL11,Energy,67.3,56.54,78.63,66.36,89.26,18,Não,2,7,False,False,False,False,True,False,,True,False,True,2962321408.0,5.55,0.71,13.5,9.75,12.74,9.37,17.93,,2.18,0.77,,10.109999656677246,7.04,10.25,18.94,24.16,,15.1,14.6,13.14,4.0,29.96,49.36,n/d,2026-05-19,última,,,Em Alta,10.890000343322754,-7.1625405147371595,-29.005789403344153,True,False,False,sem sinal (Em Alta; sem novo topo (-7.2%))
BLAU3,SMALL11,Healthcare,67.14,60.38,59.7,87.98,74.5,19,Não,3,7,False,False,True,False,False,False,,True,True,True,2055766016.0,8.51,0.9,8.35,3.81,10.63,12.15,13.82,,2.66,0.25,,8.899999618530273,2.42,3.53,10.88,15.25,,9.89,10.88,9.79,3.0,9.99,11.09,n/d,2026-06-26,última,,,Em Baixa,10.289999961853027,-13.508263833583555,-37.688447170455795,True,False,False,sem sinal (Em Baixa; sem novo topo (-13.5%))
VIVA3,BOVA11+SMALL11,Consumer Cyclical,67.0,77.19,42.51,89.75,36.91,20,Não,5,7,False,True,True,True,True,False,,True,False,True,5241160704.0,8.99,1.65,3.13,1.97,18.4,17.32,18.97,,4.14,0.41,,22.290000915527344,3.13,4.56,25.79,27.45,,26.62,26.62,23.96,2.0,7.48,19.42,n/d,2025-12-22,última,,,Em Baixa,23.520000457763672,-5.229589788678424,-37.89615120932815,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.2%))
LREN3,BOVA11+SMALL11,Consumer Cyclical,66.09,69.55,57.64,71.55,60.74,21,Não,6,7,False,True,True,True,False,True,,True,True,True,13140741120.0,9.21,1.33,6.66,4.35,14.41,23.76,9.37,,1.78,0.28,0.4,13.670000076293945,4.25,7.88,19.67,18.53,40.9,21.74,19.1,17.19,4.0,25.73,59.06,2026-08-06,2026-06-24,última,,,Em Baixa,14.289999961853027,-4.338697601218778,-21.08023573257425,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.3%))
PETR3,BOVA11,Energy,66.09,83.19,65.98,31.26,59.06,22,Não,5,7,False,True,True,True,True,False,,True,False,True,607703793664.0,5.65,1.37,6.3,37.2,24.17,16.79,21.6,,0.74,0.83,,47.150001525878906,125.3,182.43,86.79,80.39,,118.73,106.04,95.44,4.0,102.41,151.81,2026-08-06,2026-06-02,última,,,Em Alta,48.70000076293945,-3.1827499235689727,-13.664917324626568,True,False,False,sem sinal (Em Alta; sem novo topo (-3.2%))
DIRR3,BOVA11+SMALL11,Real Estate,65.97,74.34,42.69,64.92,88.59,23,Não,5,7,False,True,True,False,True,True,,True,False,True,6141244928.0,7.34,2.89,13.12,12.12,39.35,10.1,18.16,,4.26,1.3,0.25,11.8100004196167,10.22,18.97,21.32,12.16,48.27,15.67,15.56,14.01,4.0,18.61,32.67,n/d,2025-12-17,última,,,Em Baixa,12.989999771118164,-9.08390586830543,-31.567471264637025,True,False,False,sem sinal (Em Baixa; sem novo topo (-9.1%))
EVEN3,SMALL11,Real Estate,65.28,44.95,74.51,85.14,93.96,24,Não,1,7,False,False,False,False,False,False,,True,False,True,934479680.0,4.36,0.49,19.45,9.08,11.22,6.52,11.31,,4.53,0.65,,4.710000038146973,3.05,4.45,11.23,15.29,,10.32,11.23,10.11,3.0,114.68,119.15,n/d,2026-06-02,última,,,Em Baixa,5.75,-18.086955858313512,-44.78994625697538,True,False,False,sem sinal (Em Baixa; sem novo topo (-18.1%))
CYRE3,BOVA11+SMALL11,Consumer Cyclical,65.21,61.52,53.81,79.46,81.88,25,Não,4,7,False,True,True,False,True,False,,True,False,True,7920419328.0,4.96,0.92,10.69,7.26,18.6,6.91,20.76,,3.78,0.75,,21.6200008392334,11.22,16.33,45.33,48.01,,36.56,45.33,40.8,3.0,88.71,69.09,2026-08-13,2025-12-10,última,,,Em Baixa,22.959999084472656,-5.836229523830728,-39.96970182639408,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.8%))
