ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
ABCB2,SMALL11,SMALL11,Produtos financeiros,87.62,85.43,100.0,,,0.4,78.08,98.67,,,1,Não,1,3,False,,,,,True,,True,,2,2,True,False,,,False,,,,True,,True,,,0.0,,,14.9,,39.67,,,,,,,,,,,,,,0.0,,,n/d,n/d,,,,,,,,True,False,False,histórico insuficiente
CXSE3,BOVA11,BOVA11,Insurance,81.96,78.78,100.0,,1.6,0.3,95.96,31.54,100.0,77.14,2,Não,3,4,False,,True,,True,True,,True,True,5,5,True,False,,,True,,True,,True,,True,57959997440.0,13.23,4.21,7.25,9.63,31.59,,75.12,,,,1.39,19.31999969482422,13.28,24.64,19.35,12.28,27.92,19.09,19.35,17.41,3.0,-9.88,-1.19,2026-08-10,2026-08-04,última,,,Em Baixa,22.04433250427246,-12.3584273142325,-12.747254873216418,True,False,False,sem sinal (Em Baixa; sem novo topo (-12.4%))
VTRU3,SMALL11,SMALL11,Consumo discricionário,80.24,76.75,100.0,,,0.8,95.63,92.23,52.6,1.43,3,Não,5,5,True,,True,,,True,True,True,True,5,5,True,True,,True,True,,True,,True,,True,2070765824.0,1.65,0.46,20.0,0.21,35.22,,48.63,,2.13,0.76,0.11,12.710000038146973,0.19,0.35,102.02,69.46,117.08,96.19,102.02,91.82,3.0,622.44,656.81,n/d,2026-05-04,última,,,Em Baixa,13.119999885559082,-3.124998864240758,-26.73465385987328,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.1%))
ABCB4,SMALL11,SMALL11,Produtos financeiros,79.83,79.8,80.0,16.87,,0.4,78.08,79.57,83.86,80.0,4,Não,2,4,False,,True,,False,True,,True,True,4,5,True,False,,,False,,True,,True,,True,6063676416.0,4.35,0.8,9.93,10.04,14.9,,39.67,,,,0.52,23.530000686645508,16.88,31.31,71.68,59.96,99.74,39.96,31.31,28.18,3.0,19.77,69.82,n/d,2026-06-30,última,,,Em Baixa,24.15999984741211,-2.607612436860518,-13.899053673174034,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.6%))
JHSF3,SMALL11,SMALL11,Imobiliário,79.47,78.79,83.33333333333333,,,0.8,93.6,81.13,49.07,65.71,5,Não,4,5,False,,True,,False,True,True,True,True,5,6,True,True,,True,False,,True,,True,,True,7193823744.0,3.41,1.02,7.69,7.77,27.88,,53.01,,1.92,0.74,0.23,10.789999961853027,5.99,11.11,41.87,27.44,71.96,26.81,27.44,24.7,3.0,128.9,148.46,n/d,2026-08-31,próxima,,,Lateral,11.33961009979248,-4.846816893197337,-23.765504622776835,True,False,False,sem sinal (Lateral; sem novo topo (-4.8%))
VULC3,SMALL11,SMALL11,Consumo discricionário,78.45,80.53,66.66666666666667,,,0.8,89.97,68.0,69.15,92.14,6,Pivô de alta,4,5,False,,True,,False,True,True,False,True,4,6,True,True,,True,False,,True,,True,,True,4410145280.0,3.6,1.76,55.56,15.46,37.13,,24.89,,2.96,0.37,0.24,14.039999961853027,15.5,28.76,51.67,26.46,117.0,30.6,27.61,24.85,4.0,76.97,117.94,n/d,2025-12-23,última,"A Vulcabras (VULC3) apresenta uma notável combinação de alta qualidade operacional e valuation atrativo, evidenciada por um ROE de 35,1% e um ROIC de 17,8% que se posicionam muito acima dos pares do setor de consumo cíclico (8,4% e 11,4%, respectivamente), sugerindo uma eficiência superior na alocação de capital. Essa rentabilidade robusta convive com múltiplos de preço historicamente baixos, como o P/L de 4,8 e o P/VP de 1,68, indicando que o mercado pode estar subavaliando a capacidade de geração de valor da companhia. A saúde financeira da empresa é sólida, com um endividamento sobre o patrimônio de apenas 0,37 e uma folgada liquidez corrente de 2,96, o que garante que o expressivo dividend yield de 28,86% seja sustentável e coerente com a forte geração de lucro e a baixa alavancagem. No quesito expansão, o crescimento de receita nos últimos cinco anos registrou uma taxa anual composta de 11,2%, superando amplamente a estagnação do setor de 0,0%, o que reforça o perfil de crescimento e eficiência da empresa. O checklist fundamentalista chancela essa solidez ao aprovar 6 dos 7 critérios avaliados, falhando apenas na questão de vendas recentes por parte de insiders. Sob a ótica do valuation, as estimativas de preço-teto revelam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 15,50 de Bazin até os otimistas R$ 71,67 de Lynch, mas convergindo para um preço-teto ajustado com margem de segurança de R$ 25,88, o que sinaliza um expressivo potencial de valorização de 84,3% frente ao preço atual de R$ 14,04. Em termos gráficos, o papel exibe uma tendência lateral no curto prazo, embora já configure um pivô de alta que pode indicar reversão positiva. Como balanço final, os prós residem na excepcional rentabilidade, no endividamento sob controle, no dividendo altamente generoso e no forte desconto patrimonial, enquanto os contras limitam-se ao comportamento recente dos insiders e à volatilidade intrínseca ao setor de consumo cíclico.",Pivô de alta,Lateral,14.5,-3.1724140561860237,-30.597246958934466,True,True,True,Pivô de alta
BRSR6,SMALL11,SMALL11,Produtos financeiros,78.44,81.69,60.0,17.35,,0.4,73.43,89.44,90.71,81.43,7,Não,2,4,False,,True,,False,True,,False,True,3,5,True,False,,,False,,True,,True,,True,5623398912.0,3.19,0.5,6.38,10.15,15.59,,22.75,,,,0.3,13.75,9.97,18.5,57.11,51.82,89.19,14.24,14.24,12.81,2.0,-6.81,3.54,n/d,2026-06-15,última,,,Lateral,14.449999809265137,-4.844289401417889,-26.170418053541344,True,False,False,sem sinal (Lateral; sem novo topo (-4.8%))
LAVV3,SMALL11,SMALL11,Imobiliário,77.8,76.82,83.33333333333333,,,0.8,79.55,70.12,72.12,90.71,8,Não,4,5,False,,True,,True,True,True,False,True,5,6,True,True,,True,False,,True,,True,,True,1844900224.0,4.65,1.35,20.25,13.99,24.0,,19.91,,3.93,0.36,0.55,9.4399995803833,9.43,17.5,26.9,17.88,45.42,17.93,17.69,15.92,4.0,68.63,89.9,n/d,2026-02-03,última,,,Em Baixa,11.0600004196167,-14.647384970800402,-50.26343620622118,True,False,False,sem sinal (Em Baixa; sem novo topo (-14.6%))
MDNE3,SMALL11,SMALL11,Imobiliário,77.65,76.65,83.33333333333333,,,0.8,82.93,74.66,65.85,75.0,9,Não,5,5,True,,True,,False,True,True,True,True,5,6,True,True,,True,True,,True,,True,,True,2582462720.0,4.39,1.21,19.0,9.2,27.16,,19.89,,2.78,0.43,0.29,24.899999618530273,16.37,30.36,75.13,51.14,137.23,52.21,51.14,46.02,3.0,84.83,109.68,n/d,2026-01-02,última,,,Em Baixa,25.399999618530273,-1.968503966571833,-27.362892341850298,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.0%))
BBSE3,BOVA11,BOVA11,Insurance,75.04,74.17,80.0,,1.3,0.3,99.33,33.93,61.0,87.86,10,Não,4,4,True,,True,,True,True,,False,True,4,5,True,True,,,True,,True,,True,,True,74505117696.0,8.11,6.84,11.96,12.84,85.94,,87.93,,,,,38.380001068115234,35.21,51.26,49.19,24.43,,45.22,49.19,44.27,3.0,15.35,17.83,2026-11-03,2026-08-07,última,,,Em Alta,40.51827621459961,-5.277310256634038,-5.852187480179005,True,False,False,sem sinal (Em Alta; sem novo topo (-5.3%))
