ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
ABCB2,SMALL11,SMALL11,Produtos financeiros,80.17,85.49,50.0,,,0.4,,78.17,98.67,,,1,Não,1,3,False,,,,,True,,False,,1,2,True,False,,,False,,,,True,,True,,,0.0,,,14.9,,40.92,,,,,,,,,,,,,,0,True,,,,n/d,n/d,,,,,,,,True,False,False,histórico insuficiente
VTRU3,SMALL11,SMALL11,Consumo discricionário,76.59,72.46,100.0,,,0.9,P/L=1.71<2,88.84,85.85,51.25,7.64,2,Não,7,7,True,,True,,,True,True,True,True,5,5,True,True,True,True,True,,True,True,True,,True,2070765824.0,1.71,0.51,0.2,0.21,29.95,14.79,48.63,,2.13,0.76,,12.710000038146973,0.18671902221674253,0.3463637862120573,98.48391842423823,64.5585351644727,222.98245680959602,,,,2,False,1194.2,,,n/d,2026-05-04,última,,,Em Baixa,13.119999885559082,-3.124998864240758,-26.73465385987328,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.1%))
JHSF3,SMALL11,SMALL11,Imobiliário,75.92,74.61,83.33333333333333,,,0.8,,84.71,78.15,49.68,70.14,3,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,7193823744.0,3.85,1.04,6.24,7.77,27.12,12.14,53.01,,1.92,0.74,0.26,10.789999961853027,5.9912203701705415,11.113713786666354,37.13441545313054,25.577946097036243,63.82521678186572,,,,4,False,10.7,,,n/d,2026-08-31,próxima,,,Lateral,11.33961009979248,-4.846816893197337,-23.76550987166468,True,False,False,sem sinal (Lateral; sem novo topo (-4.8%))
VULC3,SMALL11,SMALL11,Consumo discricionário,75.88,77.51,66.66666666666667,,,0.9,,88.41,58.71,67.29,95.83,4,Pivô de alta,5,7,False,,True,,False,True,True,False,True,4,6,True,True,True,True,False,,True,False,True,,True,4410145280.0,4.8,1.68,28.86,15.46,35.06,17.83,24.89,,2.96,0.37,0.53,14.039999961853027,15.502607741409557,28.75733736031473,38.75624989469846,23.452173914095194,71.67343912921136,35.62836160794586,28.75733736031473,25.881603624283258,5,True,4.6,84.34190665672448,153.7632600053338,n/d,2025-12-23,última,"A Vulcabras (VULC3) apresenta-se como um caso intrigante no setor de consumo discricionário, onde a expressiva qualidade operacional convive com múltiplos de preço bastante descontados. O retorno sobre o patrimônio líquido (ROE) de 35,1% e o retorno sobre o capital investido (ROIC) de 17,8% situam-se confortavelmente acima das médias setoriais de 12,2% e 12,5%, respectivamente, evidenciando uma eficiência na alocação de capital que contrasta com um P/L de apenas 4,8 e um P/VP de 1,68, sugerindo que o mercado pode estar subavaliando essa robusta geração de valor. Essa rentabilidade diferenciada é suportada por uma estrutura de capital extremamente saudável, visto que a relação dívida/patrimônio de 0,37 indica baixo endividamento, enquanto a liquidez corrente de 2,96 garante ampla folga financeira para honrar compromissos de curto prazo. O extraordinário dividend yield de 28,86% mostra-se coerente com a forte margem líquida de 24,89% e com a baixa alavancagem, embora a sustentabilidade de proventos tão elevados no longo prazo demande atenção frente à expressiva contração histórica de receita, cujo CAGR de cinco anos de -64,7% ficou severamente abaixo da média setorial de 49,8%. Esse gargalo no crescimento de longo prazo e a existência de vendas por parte de insiders foram os únicos pontos fracos que impediram a companhia de gabaritar o checklist de critérios fundamentalistas, no qual ela atendeu a 5 dos 7 requisitos avaliados. Sob a ótica do valuation, as estimativas de preço-teto revelam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 15,50 de Bazin e R$ 23,45 de Graham até os R$ 71,67 de Lynch, resultando em uma média de R$ 35,63 e uma mediana de R$ 28,76. Tomando como referência o preço-teto ajustado com margem de segurança de R$ 25,88, o papel exibe um expressivo potencial de valorização de 84,3% em relação à cotação atual de R$ 14,04, em um momento técnico de tendência lateral, mas com sinal gráfico de pivô de alta. Em suma, os principais atrativos da empresa residem em sua altíssima rentabilidade, saúde financeira impecável e distribuição massiva de dividendos, ao passo que os principais riscos concentram-se no histórico recente de encolhimento da receita e nas transações de insiders.",Pivô de alta,Lateral,14.5,-3.1724140561860237,-30.597246958934466,True,True,True,Pivô de alta
POMO3,SMALL11,SMALL11,Bens Industriais,75.0,73.53,83.33333333333333,,,0.7,,81.42,73.04,48.36,89.58,5,Não,4,7,False,,True,,False,True,True,True,True,5,6,True,True,True,False,False,,True,False,True,,True,5226295296.0,4.38,1.24,22.43,11.85,28.32,18.39,13.81,,1.97,0.84,0.32,4.210000038146973,3.5629278021564796,6.60923107300027,12.735730709006251,8.568907623857728,24.482879719990123,7.869199302005183,7.589069348428999,6.830162413586099,4,True,6.9,62.23663543225022,86.9168463349659,n/d,2026-04-27,última,,,Em Baixa,4.989999771118164,-15.631257890747518,-37.5452682521373,True,False,False,sem sinal (Em Baixa; sem novo topo (-15.6%))
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,73.7,72.0,83.33333333333333,,,0.7,,81.42,70.54,48.36,80.56,6,Não,4,7,False,,True,,False,True,True,True,True,5,6,True,True,True,False,False,,True,False,True,,True,5611129344.0,4.71,1.33,20.89,9.47,28.32,18.39,13.81,,1.97,0.84,0.31,4.519999980926514,3.0574973793098996,5.671657638619863,12.715498884772039,8.566302726978416,23.483007011515138,8.984486416790107,8.566302726978416,7.709672454280574,3,True,7.7,70.56797537198747,98.77182421908901,n/d,2026-04-27,última,,,Em Baixa,5.380000114440918,-15.98513225317606,-43.151457242367066,True,False,False,sem sinal (Em Baixa; sem novo topo (-16.0%))
MDNE3,SMALL11,SMALL11,Imobiliário,73.63,71.92,83.33333333333333,,,0.8,,73.47,70.84,66.15,79.17,7,Não,6,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,True,,True,False,True,,True,2582462720.0,5.12,1.23,15.58,9.2,23.93,11.1,19.89,,2.78,0.43,0.4,24.899999618530273,16.369193077168603,30.36485315814776,64.43847557529806,47.065541887819606,106.2977602028287,62.041657706023535,55.75200873155883,50.17680785840295,4,True,6.5,101.51328765909695,149.16328777713272,n/d,2026-01-02,última,,,Em Baixa,25.399999618530273,-1.968503966571833,-27.362892341850298,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.0%))
PSSA3,BOVA11,BOVA11,Insurance,72.98,71.74,80.0,,1.8,0.3,,76.67,48.41,100.0,51.39,8,Não,4,6,False,,True,,False,True,,True,True,4,5,True,False,True,,True,,True,False,True,,True,32318830592.0,8.85,2.02,5.98,5.33,22.84,79.28,8.34,,,,0.73,50.41999816894531,19.205461449196882,35.626130988260215,75.48756788005936,56.56486624961452,99.09361290705,43.43972010583882,35.626130988260215,32.063517889434195,3,True,3.9,-36.40714190032883,-13.84426480881108,2026-11-05,2026-06-23,última,,,Em Baixa,55.45000076293945,-9.071239900425743,-9.234925541984019,True,False,False,sem sinal (Em Baixa; sem novo topo (-9.1%))
MILS3,SMALL11,SMALL11,Bens Industriais,71.74,69.7,83.33333333333333,,,0.7,,86.2,55.71,57.45,54.86,9,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,3554190848.0,8.14,1.94,6.81,5.73,23.81,20.65,23.53,,2.98,0.99,0.64,15.600000381469727,6.388296766942375,11.850290502678105,25.393121014063126,18.62099144680682,35.323453500561676,22.796964116027432,22.007056230434973,19.806350607391476,4,True,5.5,26.963782840147953,46.13438178569875,n/d,2026-04-22,última,,,Lateral,15.8100004196167,-1.3282734508116123,-2.132993775809111,True,False,False,sem sinal (Lateral; sem novo topo (-1.3%))
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,70.16,67.83,83.33333333333333,,,0.9,,90.44,35.74,49.3,83.33,10,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,9660371968.0,9.07,6.25,13.38,9.82,68.95,37.57,18.37,,1.94,0.71,1.21,31.360000610351562,22.003074019426474,40.81570230603611,45.81256980012768,19.75712144035349,59.965415614589865,37.67077663610672,40.81570230603611,36.7341320754325,5,True,3.0,17.136898470936245,20.123647649649754,n/d,2026-05-18,última,,,Em Baixa,32.029998779296875,-2.0917833108953343,-23.59754312876331,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.1%))
