ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,ev_ebitda,div_liq_ebitda,liq_corr,div_patrim,peg,payout,cresc_5a,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11,SMALL11,Imobiliário,77.46,76.0,85.71428571428571,,,0.8,,84.71,79.55,54.9,70.14,1,Não,6,8,False,,True,,False,True,True,True,True,True,6,7,True,True,True,True,False,True,True,False,True,0.19,True,7093817344.0,3.8,1.03,6.33,7.91,27.12,12.14,53.01,4.81,0.74,1.92,0.74,0.25,30.05,5.2,10.640000343322754,5.60964652151583,9.910375521344633,32.977778841877544,25.510706742533827,64.14334288752073,,,,2,False,11.4,,,n/d,2026-08-31,próxima,,,False,False,,,Lateral,11.33961009979248,-6.169610333273534,-24.82529565761086,True,False,False,sem sinal (Lateral; sem novo topo (-6.2%))
POMO3,SMALL11,SMALL11,Bens Industriais,74.25,74.75,71.42857142857143,,,0.7,,81.42,74.79,52.29,89.58,3,Não,5,8,False,,True,,False,False,True,True,True,True,5,7,True,True,True,False,False,True,True,False,True,0.36,True,5114569216.0,4.29,1.21,22.91,11.85,28.32,18.39,13.81,4.56,1.06,1.97,0.84,0.31,50.83,23.0,4.119999885559082,3.2545383552612632,5.749684427628233,11.3110589968729,8.577626503317656,24.751987287818018,8.546123309272929,8.577626503317656,7.719863852985891,3,True,7.6,87.37534144223184,107.4301831713091,n/d,2026-04-27,última,,,False,False,,,Em Baixa,4.989999771118164,-17.434868245778123,-38.88040728686697,True,False,False,sem sinal (Em Baixa; sem novo topo (-17.4%))
MDNE3,SMALL11,SMALL11,Imobiliário,74.24,72.21,85.71428571428571,,,0.8,,73.47,72.05,66.09,79.17,4,Não,7,8,False,,True,,False,True,True,True,True,True,6,7,True,True,True,True,True,True,True,False,True,0.22,True,2548237312.0,5.06,1.21,15.79,9.21,23.93,11.1,19.89,4.54,0.7,2.78,0.43,0.4,46.59,87.7,24.899999618530273,15.285429140696243,27.004258148563366,57.95783837426898,47.73343144659589,108.20378766901098,60.224828909609805,52.84563491043244,47.561071419389194,4,True,7.1,91.008321879631,141.86678647493324,n/d,2026-01-02,última,,,False,False,,,Em Baixa,25.399999618530273,-1.968503966571833,-27.362892341850298,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.0%))
VULC3,SMALL11,SMALL11,Consumo discricionário,74.19,77.2,57.142857142857146,,,0.9,,88.41,58.7,65.76,95.83,5,Não,6,8,False,,True,,False,False,True,True,False,True,4,7,True,True,True,True,False,True,True,False,True,0.23,True,4375592960.0,4.76,1.67,29.09,15.46,35.06,17.83,24.89,6.38,0.76,2.96,0.37,0.51,73.58,-64.7,14.039999961853027,14.468131409748256,25.560365490555256,34.739495703931404,23.62091156961993,72.91721662386313,24.597226043463714,24.590638530087595,22.131574677078838,4,True,5.0,57.63229869808253,75.19391816449352,n/d,2025-12-23,última,,,False,False,,,Em Baixa,14.5,-3.1724140561860237,-30.597246958934466,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.2%))
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,72.94,73.21,71.42857142857143,,,0.7,,81.42,72.24,52.29,80.56,7,Não,5,8,False,,True,,False,False,True,True,True,True,5,7,True,True,True,False,False,True,True,False,True,0.37,True,5474575360.0,4.59,1.3,21.41,9.47,28.32,18.39,13.81,4.79,1.06,1.97,0.84,0.31,43.47,23.0,4.409999847412109,2.7844301674723875,4.919159962534552,11.315903747898417,8.563510105820175,23.511209198968945,,,,3,False,8.4,,,n/d,2026-04-27,última,,,False,False,,,Em Baixa,5.380000114440918,-18.029744356791888,-44.53494116268273,True,False,False,sem sinal (Em Baixa; sem novo topo (-18.0%))
MILS3,SMALL11,SMALL11,Bens Industriais,71.89,69.45,85.71428571428571,,,0.7,,86.2,54.77,57.4,54.86,8,Não,6,8,False,,True,,False,True,True,True,True,True,6,7,True,True,True,True,False,True,True,False,True,0.69,True,3572417280.0,8.18,1.95,6.78,5.73,23.81,20.65,23.53,4.86,1.28,2.98,0.99,0.65,46.88,21.3,15.600000381469727,5.9605448158314775,10.530295841302278,22.461288242811616,18.52771708567952,35.049833667063055,21.642283709214116,20.494502664245566,18.44505239782101,4,True,5.9,18.237512479363428,38.73258448712376,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.8100004196167,-1.3282734508116123,-2.132993775809111,True,False,False,sem sinal (Em Alta; sem novo topo (-1.3%))
PSSA3,BOVA11,BOVA11,Insurance,71.25,72.06,66.66666666666667,,1.8,0.3,,76.67,49.68,100.0,51.39,9,Não,4,6,False,,True,,False,False,True,,True,True,4,6,True,False,True,,True,,True,False,True,,True,31857317888.0,8.72,1.99,6.06,5.33,22.84,79.28,8.34,,,,,0.71,46.5,3.6,50.41999816894531,17.923417175509023,31.66470367673261,68.10040527405967,57.41287617185734,101.48932869837422,39.2295087087671,31.66470367673261,28.49823330905935,3,True,3.8,-43.47831347877362,-22.194545550520584,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,55.45000076293945,-9.071239900425743,-9.234925541984019,True,False,False,sem sinal (Em Baixa; sem novo topo (-9.1%))
LEVE3,SMALL11,SMALL11,Consumo discricionário,69.98,69.73,71.42857142857143,,,0.9,,86.22,57.69,32.91,99.31,10,Não,6,8,False,,True,,True,False,True,False,True,True,5,7,True,True,True,False,False,True,True,True,True,1.1,True,4354868224.0,6.56,4.07,8.87,19.55,62.01,33.17,12.31,5.15,1.09,1.37,1.44,0.19,128.24,35.0,32.11000061035156,41.84802663700222,73.93151372537059,57.650068846498414,29.476943471256714,146.84451498636386,50.72663817003199,49.74904774175032,44.77414296757529,4,True,5.0,39.439869562447406,57.977692948653605,n/d,2026-04-30,última,,,False,False,,,Lateral,32.47999954223633,-1.139159289099212,-11.322835067066405,True,False,False,sem sinal (Lateral; sem novo topo (-1.1%))
CXSE3,BOVA11,BOVA11,Insurance,69.94,64.63,100.0,,1.6,0.3,,64.67,29.61,100.0,81.25,11,Não,4,6,False,,True,,True,True,True,,True,True,6,6,True,False,False,,True,,True,True,True,,True,56789999616.0,12.56,4.12,7.14,9.63,32.79,-1.21,75.12,,,,,1.32,120.89,9.5,18.93000030517578,12.146908284489527,21.45953796926483,17.751061857295053,12.482410255570475,28.824731462301973,17.119169370349805,17.751061857295053,15.975955671565547,3,True,1.8,-15.605095541401282,-9.565931883957045,2026-08-10,2026-08-04,última,,,False,False,,,Em Baixa,22.04433250427246,-14.127586754976972,-14.508565322600763,True,False,False,sem sinal (Em Baixa; sem novo topo (-14.1%))
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,69.47,69.12,71.42857142857143,,,0.9,,90.44,34.65,57.12,83.33,12,Não,6,8,False,,True,,False,False,True,True,True,True,5,7,True,True,True,True,False,True,True,False,True,-0.21,True,9762028544.0,9.17,6.32,13.24,9.82,68.95,37.57,18.37,5.94,-0.2,1.94,0.71,1.34,90.08,33.5,31.690000534057617,20.753476142950703,36.66447451921291,40.702048426149375,19.74559834591559,57.58483700107798,35.09008688706131,36.66447451921291,32.998027067291616,5,True,2.9,4.1275686689504765,10.729208885148434,n/d,2026-05-18,última,,,False,False,,,Em Baixa,32.029998779296875,-1.0614994011770684,-22.793563395097717,True,False,False,sem sinal (Em Baixa; sem novo topo (-1.1%))
