ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,beta,corr_ibov,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11,SMALL11,Imobiliário,77.84,75.69,90.0,,,0.8,,86.88,82.03,44.97,70.92,False,1,Não,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.33,True,6892595200.0,3.34,0.95,6.48,7.91,28.4,16.71,13.12,52.59,4.53,1.22,1.3,1.73,0.86,0.22,26.41,90.2,6.06,7.25,0.72,61.6,36.26,5.05,13.85,106.1,-24.9,-6.4,1.37,0.61,10.399999618530273,5.87427218800108,10.896774908742003,41.25748351662458,27.694246049534936,71.32928290717642,19.57807411896471,37.67664532461566,18.30743169989186,,,,6,False,12.1,,,n/d,2026-08-31,próxima,,,False,False,,,Em Baixa,10.850000381469727,-4.1474723236691435,-26.520975805696057,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.1%))
VULC3,SMALL11,SMALL11,Consumo discricionário,76.88,78.09,70.0,,,0.9,,87.8,63.18,65.69,96.45,False,2,Não,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4199689728.0,4.57,1.6,29.49,15.45,35.06,31.82,17.83,24.89,6.15,0.76,0.6,2.96,0.37,0.44,70.58,-64.7,5.86,11.45,1.64,37.42,62.57,13.37,20.08,0.0,-33.4,-10.0,0.92,0.6,13.369999885559082,14.750078201104454,27.36139506304876,38.76422286294482,23.453333072587068,75.35854784329271,48.54748521036084,26.780989706309793,8.81488378985017,,,,6,False,8.5,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,14.039999961853027,-4.772080328449779,-33.90920208420973,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.8%))
MDNE3,SMALL11,SMALL11,Imobiliário,74.61,71.89,90.0,,,0.8,,73.1,75.84,60.08,80.14,False,3,Não,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.26,True,2543994112.0,4.58,1.12,15.77,9.28,24.38,16.15,10.98,21.43,4.41,0.91,1.16,2.38,0.48,0.33,42.49,19.5,3.85,6.4,1.12,72.76,27.27,20.62,34.28,19.3,-28.2,-10.7,1.66,0.63,24.600000381469727,16.30060358702401,30.23761965392954,71.16812337433926,51.52104017548554,125.13929938230851,25.69671526310594,61.68777253041441,43.135071769905565,47.24105712786337,47.32805597269555,42.595250375426,6,True,7.7,73.1514216053079,92.03681461504496,n/d,2026-01-02,última,,,False,False,,,Lateral,25.09000015258789,-1.9529683863617753,-28.238036005045906,True,False,False,sem sinal (Lateral)
POMO3,SMALL11,SMALL11,Bens Industriais,74.0,74.7,70.0,,,0.7,,80.49,75.3,52.52,91.49,False,4,Não,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5102155264.0,4.28,1.21,22.48,12.72,28.32,24.74,18.39,13.19,4.55,1.29,0.98,1.94,0.81,0.33,54.43,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,10.2,-36.6,-21.8,0.91,0.45,4.110000133514404,3.73321908983248,6.925121411639251,12.72371536660417,8.566797975520885,24.60513833552532,11.207204519840518,10.355629896450319,5.2809946110932104,9.176577296858058,9.461213935985601,8.515092542387041,6,True,6.6,107.17986048107262,123.2743795317421,n/d,2026-08-26,última,,,False,False,,,Em Baixa,4.215035915374756,-2.491930886691218,-37.0764712846113,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.5%))
PSSA3,BOVA11,BOVA11,Insurance,73.16,72.83,75.0,,1.8,0.3,,76.13,53.58,100.0,51.77,False,5,Não,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,True,True,,True,31113766912.0,8.52,1.95,6.21,5.34,22.84,17.35,79.28,8.13,,,,,,0.68,45.46,0.3,7.79,6.06,,71.59,28.18,43.07,55.45,12.7,-12.5,-4.7,0.75,0.5,48.540000915527344,18.49767256282114,34.313182604033216,75.48767748013348,56.487705745874926,101.37074324482975,48.40360291175992,59.83279359511664,,44.17553388968694,41.35839275789657,37.22255348210691,4,True,4.1,-23.315713267323247,-8.991485256532549,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,53.47999954223633,-9.237095491759629,-12.619259077966715,True,False,False,sem sinal (Em Baixa; sem novo topo (-9.2%))
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,72.87,73.38,70.0,,,0.7,,80.49,72.29,52.52,85.82,False,6,Não,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5474575360.0,4.59,1.3,20.95,10.21,28.32,24.74,18.39,13.19,4.79,1.29,0.98,1.94,0.81,0.31,46.88,-14.0,4.51,8.76,1.02,59.93,39.42,3.93,7.69,12.1,-42.7,-20.4,0.97,0.48,4.409999847412109,3.217002919301321,5.967540415303951,12.730391716385716,8.563510105820175,24.223973547146002,11.575137762178509,11.62548979383149,5.2783704956239275,11.423487690898538,11.575137762178509,10.417623985960658,7,True,7.5,136.22730944251535,159.0360110239484,n/d,2026-08-26,última,,,False,False,,,Em Baixa,4.525676250457764,-2.556002609200203,-42.888718279077956,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.6%))
PETR4,BOVA11,BOVA11,Energia,71.19,74.93,50.0,,,0.9,DY5a=41.0%>=20,86.35,85.24,36.34,,False,8,Não,7,8,False,,True,,True,False,True,True,True,False,5,10,True,True,True,True,True,True,True,False,True,True,True,0.61,True,566351495168.0,4.01,1.11,8.79,41.02,27.73,30.77,19.69,24.32,2.63,1.29,0.92,0.85,0.76,0.27,164.48,96.8,4.2,10.07,0.28,65.87,33.99,26.84,47.05,54.4,-11.9,0.3,0.33,0.23,41.45000076293945,121.44126797162308,225.27355208736077,136.96072571295454,93.19274974886335,310.09975633121786,56.20264666666667,125.07356838692455,57.8068628710751,116.56448192078115,121.44126797162308,109.29714117446078,7,True,5.5,163.68429231051698,181.21708027808222,n/d,2026-08-24,última,,,False,False,,,Em Alta,42.971248626708984,-3.540152805389951,-13.033350904610097,True,False,False,sem sinal (Em Alta)
MILS3,SMALL11,SMALL11,Bens Industriais,70.9,69.3,80.0,,,0.7,,84.89,56.36,57.38,55.32,False,9,Não,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3570138880.0,8.17,1.95,5.41,5.71,23.81,18.37,20.65,23.53,4.86,1.28,0.87,2.98,0.99,0.64,46.66,21.3,8.37,11.12,0.54,61.6,38.32,10.3,15.81,52.2,-0.9,7.4,0.74,0.47,15.670000076293945,6.392639624814289,11.858346504030505,25.413402816510985,18.622240181620434,35.3125200641127,12.301533605802105,20.43463668128798,18.381396462282616,20.332010902235336,18.622240181620434,16.760016163458392,7,True,5.5,6.956069443888868,29.75118572586495,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.75,-0.5079360235305086,-1.6938488782749617,True,False,False,sem sinal (Em Alta)
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,70.85,69.23,80.0,,,0.9,,90.09,34.58,56.97,86.52,False,10,Não,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,-0.13,True,9854442496.0,8.97,5.95,15.05,10.4,66.38,57.38,37.72,17.89,5.78,-0.15,-0.06,1.92,0.66,2.01,93.29,8.2,6.67,16.3,0.91,70.61,24.44,26.99,40.16,18.5,-20.3,2.2,1.32,0.57,31.989999771118164,23.76330226953226,36.41661188629458,39.03790506670131,20.7706836705417,52.98477640344,51.52687081186153,19.518979630636924,24.081354542012168,33.51256053512756,30.248983214153377,27.22408489273804,8,True,2.7,-14.898139770175867,4.7594897621225485,n/d,2026-08-17,última,,,False,False,,,Lateral,32.58000183105469,-1.8109331699734388,-20.518639682719495,True,False,False,sem sinal (Lateral)
LEVE3,SMALL11,SMALL11,Consumo discricionário,70.4,70.47,70.0,,,0.9,,86.26,58.23,35.47,100.0,False,11,Não,6,8,False,,True,,True,False,True,False,True,True,7,10,True,True,True,False,False,True,True,True,True,True,True,1.2,True,4384686592.0,6.29,4.55,8.81,19.55,72.29,64.73,34.45,13.0,5.16,1.2,0.49,1.43,1.7,0.24,122.97,25.8,6.35,14.14,0.81,77.23,22.71,24.65,35.6,31.2,-9.1,-1.7,0.64,0.45,32.349998474121094,45.1758884852444,83.80127314012836,68.14586324039816,28.68365580916275,154.29252054429776,98.51666666666667,62.23131661953342,25.451020533421428,77.26388350077593,68.14586324039816,61.33127691635834,7,True,6.1,89.58664546899837,138.83736366350817,n/d,2026-04-30,última,,,False,False,,,Em Alta,34.0,-4.852945664349728,-10.660040618467681,True,False,False,sem sinal (Em Alta)
