ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,desvio_padrao,momentum_12_1,var_95,sharpe,beta,corr_ibov,corr_usd,close,div_ge5_5a,divo_qualidade_ok,auvp_ok,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VULC3,SMALL11+DIVO11,SMALL11,Consumo discricionário,77.32,78.61,70.0,,,0.9,,87.08,66.31,65.97,96.53,False,1,Não,,,False,6,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4149431808.0,4.45,1.56,30.31,15.44,35.06,31.82,17.83,24.89,6.01,0.76,0.6,2.96,0.37,0.41,68.7,-64.7,5.79,11.45,1.64,37.42,62.57,13.01,20.08,1.5,-34.2,-9.1,16.94,16.72,-35.2,25.7,-33.7,13.01,19.91,-51.03,1.62,-22.9,-2.78,-1.64,0.87,0.59,0.14,13.210000038146973,False,False,False,14.567523813982508,27.022756674937554,39.33314618099941,23.78218610182181,78.404167175086,48.837851560575885,28.40517261830529,9.181041502507487,,,,6,False,8.5,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,13.670000076293945,-3.3650331790757604,-34.7001158966543,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.4%))
JHSF3,SMALL11+DIVO11,SMALL11,Imobiliário,77.2,74.94,90.0,,,0.8,,86.38,80.34,45.2,69.44,False,2,Não,,,False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.33,True,7754169856.0,3.67,1.04,6.22,8.09,28.4,16.71,13.12,52.59,4.89,1.22,1.3,1.73,0.86,0.24,29.7,90.2,9.23,7.25,0.72,61.6,36.26,5.01,13.76,133.4,-15.0,6.4,9.22,8.92,-27.9,39.5,58.6,7.38,13.76,41.27,2.49,110.3,-3.88,1.96,1.39,0.61,0.05,11.699999809265137,False,False,False,6.762967371749467,12.545304474595262,42.24114372554851,28.407133479904108,73.61894832247128,19.57807411896471,38.57493125125563,20.59994068487496,,,,6,False,10.9,,,n/d,2026-10-01,próxima,,,False,False,,,Em Alta,11.65999984741211,0.3430528505701913,-16.77622972334366,True,False,False,sem sinal (Em Alta)
MDNE3,SMALL11+DIVO11,SMALL11,Imobiliário,74.27,71.49,90.0,,,0.8,,72.13,75.5,60.49,80.56,False,3,Bandeira de alta,,,False,7,8,False,,True,,False,True,True,True,True,True,9,10,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2719798528.0,4.8,1.17,15.03,9.3,24.38,16.15,10.98,21.43,4.62,0.91,1.16,2.38,0.48,0.36,44.65,19.5,4.12,6.4,1.12,72.76,27.27,20.62,34.28,27.5,-23.3,-2.5,25.73,26.55,-33.9,44.9,14.3,22.65,34.28,-3.03,2.83,11.3,-5.03,0.3,1.65,0.64,0.12,26.299999237060547,False,False,False,17.473515506848834,32.41337126520459,72.59895622730254,52.64212903632132,124.90589655856937,25.57805870740017,61.11470136393241,48.00513680595546,59.608321423526554,52.64212903632132,47.377916132689194,7,True,7.1,80.14417303072305,126.64761655023055,n/d,2026-01-02,última,"A Moura Dubeux (MDNE3) apresenta uma sólida combinação de alta qualidade e preço atrativo no setor imobiliário, evidenciada por um ROE de 24,4% e um ROIC de 11,0% que se posicionam acima dos pares setoriais de 16,2% e 9,4%, respectivamente, enquanto múltiplos como o P/L de 4,8 e o P/VP de 1,17 sugerem que o papel está descontado frente à sua rentabilidade. Essa forte eficiência operacional é acompanhada por uma estrutura de capital bastante robusta, onde a relação Dívida Líquida/EBITDA de 0,91 está expressivamente abaixo da média do setor de 18,46, indicando baixo endividamento e excelente capacidade de solvência com liquidez corrente de 2,38. O expressivo dividend yield de 15,03% mostra-se sustentável e coerente com a geração de caixa da companhia, uma vez que a alta margem líquida de 21,43% e a baixa alavancagem financeira garantem folga para a distribuição de proventos sem comprometer a saúde do balanço. No quesito expansão, a empresa supera largamente seus concorrentes com um CAGR de receita de cinco anos de 19,5%, acima da média setorial de 8,6%, o que corrobora o forte momentum operacional refletido no atendimento de sete dos oito critérios do checklist fundamentalista, falhando apenas no quesito de vendas por parte de insiders. Sob a ótica de valuation, as estimativas de preço-teto revelam uma dispersão acentuada entre os métodos, variando desde os conservadores R$ 17,47 pelo modelo de Bazin até os otimistas R$ 124,91 por Lynch, estabelecendo uma média de R$ 59,61 e uma mediana de R$ 52,64. Tomando como referência o preço-teto ajustado com margem de segurança de R$ 47,38, o papel exibe um expressivo potencial de valorização de 80,1% em relação à cotação atual de R$ 26,3, em um cenário técnico que também aponta para uma tendência de alta com padrão gráfico de bandeira de alta. Em suma, os principais pontos positivos da tese residem no crescimento acelerado da receita, na rentabilidade muito acima da média do setor, no endividamento sob controle e no robusto retorno via dividendos, ao passo que os riscos e pontos de atenção concentram-se na venda recente de ações por insiders e na grande divergência de valor justo entre as metodologias de precificação aplicadas.",Bandeira de alta,False,False,,,Em Alta,25.920000076293945,1.4660461406176495,-23.278879306891298,True,True,True,"Bandeira de alta — mastro +12%, recuo 42%, bandeira 10d (candidato)"
POMO3,SMALL11+DIVO11,SMALL11,Bens Industriais,73.69,74.34,70.0,,,0.7,,79.64,75.37,52.84,90.97,False,4,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5350408704.0,4.43,1.26,21.69,12.72,28.32,24.74,18.39,13.19,4.67,1.29,0.98,1.94,0.81,0.36,56.37,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,15.5,-33.5,-16.2,5.54,5.41,-42.4,35.4,-18.8,3.73,6.43,-36.13,2.23,-29.1,-3.54,-1.04,0.93,0.46,0.04,4.309999942779541,False,False,False,3.9170439610753336,7.266116547794743,12.891083350299981,8.653292574209983,24.401490521767634,11.152710029680671,10.156109131829464,5.086886593826056,8.44617745553089,8.653292574209983,7.787963316788985,7,True,6.2,80.69520696481698,95.96699692956162,n/d,2026-08-26,última,,,False,False,,,Lateral,4.340000152587891,-0.6912490496218227,-34.01450210394217,True,False,False,sem sinal (Lateral)
POMO4,BOVA11+SMALL11+DIVO11+Carteira,BOVA11,Bens Industriais,72.69,73.16,70.0,,,0.7,,79.64,72.84,52.84,85.42,False,5,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,7,10,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5685585408.0,4.77,1.35,20.18,10.22,28.32,24.74,18.39,13.19,4.93,1.29,0.98,1.94,0.81,0.33,48.75,-14.0,4.83,8.76,1.02,59.93,39.42,3.93,7.69,16.4,-40.4,-15.5,5.79,5.88,-48.9,35.0,-18.8,3.93,6.81,-36.13,2.21,-39.0,-3.44,-1.52,0.99,0.49,0.05,4.579999923706055,False,False,False,3.3431089970746064,6.201467189573394,12.722222010294596,8.561121409860142,23.7492506304531,11.526358251664606,11.325539280786376,5.019883171295649,11.300834563418265,11.325539280786376,10.192985352707739,7,True,7.1,122.55426905028757,146.74311684865336,n/d,2026-08-26,última,"A Marcopolo (POMO4) apresenta uma sólida combinação de alta qualidade e preço atrativo no setor de bens industriais, evidenciada por um ROE de 28,3% e um ROIC de 18,4% que se posicionam significativamente acima dos seus pares setoriais, sugerindo uma eficiência operacional superior na alocação de capital. Essa rentabilidade robusta convive com múltiplos de valuation descontados, como o P/L de 4,77 e o P/VP de 1,35, indicando que o mercado ainda não precificou totalmente a capacidade de geração de valor da companhia. A saúde financeira da empresa é reforçada por um endividamento controlado, visto que a relação Dívida Líquida/EBITDA de 1,29 está bem abaixo da média do setor, garantindo que o expressivo dividend yield de 20,18% seja sustentável e coerente com a forte geração de caixa, sem comprometer a estrutura de capital. Por outro lado, o crescimento histórico de longo prazo acende um alerta, dado que o CAGR de receita de cinco anos contraiu 14,0%, situando-se muito abaixo da média setorial e refletindo os desafios de expansão que a empresa enfrentou recentemente. No checklist de critérios fundamentalistas, a companhia atende a 5 dos 8 requisitos avaliados, penalizada justamente pela margem líquida de 13,19% abaixo do sarrafo de 15%, pela falta de crescimento frente aos pares e por vendas recentes de insiders. Sob a ótica do valuation, as estimativas de preço-teto revelam uma enorme dispersão entre os métodos, variando desde os conservadores R$ 3,34 de Bazin até os otimistas R$ 23,75 de Lynch, mas consolidam uma média de R$ 11,30 e um preço-teto ajustado com margem de segurança de R$ 10,19, o que aponta para um expressivo potencial de valorização de 122,6% frente à cotação atual de R$ 4,58. Em suma, o papel destaca-se positivamente pelo retorno sobre o capital excepcional, endividamento sob rédea curta e proventos altamente generosos, contrapondo-se negativamente ao histórico de encolhimento da receita nos últimos cinco anos e à ausência de alinhamento recente por parte dos controladores nas negociações de ações.",,False,True,4.45,2.92,Lateral,4.599999904632568,-0.4347822030685733,-40.68714853174584,True,False,False,sem sinal (Lateral)
PSSA3,BOVA11,BOVA11,Insurance,72.6,72.18,75.0,,1.8,0.3,,75.78,51.76,100.0,51.39,False,6,Não,,,False,4,6,False,,True,,False,False,True,,True,True,6,8,True,False,True,,True,,True,False,True,True,True,,True,32780347392.0,9.07,2.07,5.83,5.33,22.84,17.35,79.28,8.13,,,,,,0.77,48.39,0.3,8.25,6.06,,71.59,28.18,43.07,55.45,18.7,-7.8,0.7,47.98,48.48,-16.1,25.8,10.4,44.27,55.45,-6.93,1.63,2.6,-2.69,-0.2,0.74,0.5,0.03,51.13999938964844,False,False,False,19.48752834254487,36.14936507542073,74.70837838068816,55.983901535753155,96.5469861916358,48.11537194487591,56.84176039725096,,44.615160935882415,42.132368510148325,37.91913165913349,4,True,3.8,-25.8523032622309,-12.758776948845163,2026-11-05,2026-06-23,última,,,False,False,,,Lateral,51.65999984741211,-1.0065823834680465,-7.938793713735914,True,False,False,sem sinal (Lateral)
MILS3,SMALL11,SMALL11,Bens Industriais,70.94,69.34,80.0,,,0.7,,83.76,58.25,58.01,54.86,False,7,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3600518400.0,8.24,1.96,5.36,5.7,23.81,18.37,20.65,23.53,4.89,1.28,0.87,2.98,0.99,0.65,46.97,21.3,8.44,11.12,0.54,61.6,38.32,10.3,15.81,53.4,-0.1,6.6,12.88,13.19,-15.0,26.9,24.9,12.01,15.81,7.57,1.69,40.6,-1.96,0.91,0.7,0.45,0.07,15.800000190734863,False,False,False,6.433078934497449,11.933361423492768,25.40655370476176,18.64904984471701,35.14106079920753,12.29353311615471,20.340787821389863,17.50542683526487,20.181396220712646,18.64904984471701,16.78414486024531,7,True,5.5,6.228763655886205,27.730354285356505,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.789999961853027,0.06333267198224135,-0.87828979506831,True,False,False,sem sinal (Em Alta)
LEVE3,SMALL11+DIVO11,SMALL11,Consumo discricionário,70.66,70.78,70.0,,,0.9,,86.22,59.3,35.8,100.0,False,9,Não,,,False,6,8,False,,True,,True,False,True,False,True,True,7,10,True,True,True,False,False,True,True,True,True,True,True,1.2,True,4468721152.0,6.38,4.61,8.69,19.55,72.29,64.73,34.45,13.0,5.22,1.21,0.49,1.43,1.7,0.25,124.73,25.8,6.47,14.14,0.81,77.23,22.71,24.65,35.6,33.7,-7.4,0.6,32.3,31.31,-12.3,24.4,4.5,31.18,35.6,-12.83,1.54,25.1,-2.25,0.57,0.62,0.44,0.11,32.970001220703125,True,True,False,46.042250973371054,85.4083755556033,68.47218121854488,28.836956361467987,155.0313537023658,98.51666666666667,62.52931265995421,26.310553269951985,71.39345630099074,65.50074693924954,58.95067224532458,8,True,5.9,78.80094043887145,116.54065410273643,n/d,2026-04-30,última,,,False,False,,,Em Alta,32.97999954223633,-0.030316317986600616,-8.9477988005774,True,False,False,sem sinal (Em Alta)
PETR4,BOVA11+DIVO11+AUVP11,BOVA11,Energia,70.31,73.89,50.0,,,0.9,DY5a=41.0%>=20,85.2,83.17,36.83,,False,11,Não,,,False,7,8,False,,True,,True,False,True,True,True,False,5,10,True,True,True,True,True,True,True,False,True,True,True,0.61,True,657077043200.0,4.55,1.26,7.74,41.01,27.73,30.77,19.69,24.32,2.86,1.29,0.92,0.85,0.76,0.3,186.58,96.8,4.87,10.07,0.28,65.87,33.99,26.84,48.2,79.2,-0.2,16.0,37.17,36.17,-22.2,26.1,66.5,27.87,48.2,49.17,1.65,40.0,-2.55,1.63,0.36,0.24,-0.05,48.09000015258789,True,True,True,140.85970574320217,261.29475415364004,140.042308136657,95.26975900397072,317.07692408299704,55.59713333333333,127.88769271347549,57.566913530275215,149.44939883719388,133.96500042506625,120.56850038255963,8,True,5.7,150.71428571428572,210.77021909543805,n/d,2026-08-24,última,,,False,False,,,Em Alta,48.20000076293945,-0.228217030312039,-2.236223835801898,True,False,False,sem sinal (Em Alta)
CURY3,BOVA11+SMALL11+DIVO11+AUVP11,BOVA11,Consumo discricionário,69.77,67.97,80.0,,,0.9,,89.55,30.36,57.33,86.11,False,13,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$33.66, preço 0.2% abaixo do pescoço; falta fechar acima e segurar",False,6,8,False,,True,,False,False,True,True,True,True,8,10,True,True,True,True,False,True,True,False,True,True,True,-0.13,True,10347318272.0,9.31,6.18,14.5,10.4,66.38,57.38,37.72,17.89,6.01,-0.15,-0.06,1.92,0.66,4.4,96.81,8.2,7.01,16.3,0.91,70.61,24.44,26.99,40.16,24.4,-16.4,7.6,31.47,31.84,-29.9,39.8,12.0,28.13,40.16,-5.33,2.51,5.1,-3.92,0.19,1.3,0.57,0.06,33.59000015258789,False,False,True,24.94959857957974,30.01360180514236,31.001795203307143,21.00545952661001,45.15220253641502,50.29945600237022,14.436896655715612,24.859425844776492,30.214804519239575,27.48160019236105,24.733440173124947,8,True,3.5,-26.366656562163193,-10.048215593974263,n/d,2026-08-17,última,,,False,False,,,Em Alta,33.65999984741211,-0.20796106696833183,-16.543328406156256,True,False,False,sem sinal (Em Alta)
